gov_name_f,gov_id,Etablissement,Nature,Programme,Cadre_d_activite,Nbr_de_manifestations,Nbr_activite,Sub_ministere_Directe,Sub_ministere_indirecte,Sub_commissariat_Directe,Sub_commissariat_indirecte,Sub__structures_directe,Sub__structures_indirecte,sub_autres_parties_publiques,sub_autres_parties_prives,Nbr_d_abonnes,Capacite_operationnelle_directe,Capacite_operationnelle_indirecte
Sousse,31,جمعيّة التنمية والتربية على المواطنة,,تونس مدن الفنون,المبادرات الجمعياتية,1,0,0,0,0,0,0,0,0,0,0,0,48
Sousse,31,جمعيّة اشراق بالقلعة الكبرى,,تونس مدن الفنون,المبادرات الجمعياتية,0,0,0,0,25000,0,0,0,0,0,0,0,27
Sousse,31,جمعيّة أحباء الآداب والفنون والعلوم,,تونس مدن الفنون,المبادرات الجمعياتية,1,10,2000,0,0,0,0,0,0,0,200,0,32
Sousse,31,جمعيّة العمل التنموي الثقافي بالمعهد العالي للموسيقى,,تونس مدن الفنون,المبادرات الجمعياتية,2,20,2000,0,0,0,0,0,0,0,2000,0,45
Sousse,31,جمعيّة جوق للمالوف,,تونس مدن الفنون,المبادرات الجمعياتية,0,0,3000,0,0,0,0,0,0,0,0,0,35
Sousse,31,جمعية جوهرة الساحل الثقافيّة المغاربيّة,,تونس مدن الفنون,المبادرات الجمعياتية,0,0,2000,0,0,0,0,0,0,0,0,0,37
Sousse,31,الرابطة التونسيّة للفنون التشكيليّة,,تونس مدن الفنون,المبادرات الجمعياتية,1,0,0,0,0,0,0,0,0,0,400,0,50
Sousse,31,المندوبيّة الجهويّة بسوسة,إدارة أو مؤسسة تحت إشراف الوزارة,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,1,13,5000,7700,0,0,0,0,0,0,700,0,10
Sousse,31,المركز الثقافي بسوسة,دور ثقافة ومركبات ثقافية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,3,103,0,10700,0,0,0,0,0,0,15000,10,10
Sousse,31,دار الثقافة مساكن,دور ثقافة ومركبات ثقافية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,17,103,4000,1600,0,0,0,0,0,0,2500,0,0
Sousse,31,دار الثقافة النفيضة,دور ثقافة ومركبات ثقافية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,3,102,4000,6637,0,0,0,0,0,0,35000,0,15
Sousse,31,دار الثقافة القلعة الصغرى,دور ثقافة ومركبات ثقافية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,2,21,3000,1646,0,1700,0,0,0,0,5800,0,0
Sousse,31,دار الثقافة القلعة الكبرى ,دور ثقافة ومركبات ثقافية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,1,10,0,1186,0,0,0,0,0,0,600,0,0
Sousse,31,دار الثقافة هرقلة,دور ثقافة ومركبات ثقافية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,5,15,0,0,0,0,0,0,0,0,6120,0,0
