N° INV ,Nom-de-l-artiste,Titre-d-œuvre,Technique,Dimension-en-cm,Evenement,Lieu,Date-de -transfert,Date-d-overture ,Date-de-cloture,Nombre
10394,Néji Thabti,Fiévre de la révolution,huile sur papier gris-blanc,95X110,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9972/2,Taleb Othman,Un peu de soleil dans l'eau froide,Huile sur toile,(114x72)x2,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9861,Najet Dhahbi,Transgression III,Acrylique sur toile,60x50,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
10421,Med Amine Hamouda,Sans titre,technique mixte,104x80,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9821,Hichem Driss,La honte bleue,Marbre,140x41,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
6207,Abderazak Sahli,Sans titre,Acrylique sur toile de jute,330x360,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
6293,,Sydney 2000,Acrylique sur toile marouflé sur c.plaqué,265x68,,,,,,
8884,Ali Fendri,أبعـــاد 3,Huile sur toile,84x84-100x100,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9279,Raouf Karrai,طوق الحمامة,T.M/Papier,34x46.5-49.5x64.5cm,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9985,Houda Rjab,سجــاد,Tapisserie,288x217,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9112,Jelanka Bellagi,La medina ,Céramique marouflé/bois,55x46-60x50 cm,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9888,Belhassen Kchaou,إنعتاق,Céramique,1)57x32x2 2)69x39x3,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9800/6,Atef Mâatallah,Lokhrine,Technique mixte sur toile,(60X40)X6,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9833,Wissem Khemiri,تونس الضّائعة,Technique mixte sur toile,120x180,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9823,Nadia Djelassi,Rideau de campagne,Technique mixte sur contre plaqué,165x59,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9185,Med Themer Mejri,Sans titre,Tech mixte/Toile,141x160cm,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9195,Khaouther Jellazi Ben Ayed,L'andocieuse,Acrylique /toile,119.5x79.5cm,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
9118,,Histoire présieuse,,250x151 cm,,,,,,
9247,Ibrahim Azzabi,تركيبة نغم,Tech.mixte/toile,190x190cm,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9123,Mohamed Ben meftah,Scène ludique ,Acrylique /toile,141x190.5 cm,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9939,Hammadi Ben Sâad,Azur,Technique mixte sur toile marouflé,199x172,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8930,Habib Blel,Symphonie florale,Emaux sur cuivre,66x58-87x78,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
9067,,Eclat aqua tique,,51x66cm,,,,,,
9345,Khaled Karoui,Nature vivante,Gouache /papier,59x46cm-75x61cm,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9089,Najib Chakchem,Italian Angel,Huile sur toile,73x60 cm,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9098,Abdellaziz Elmalel,تعليق ,TM/metal collé/bois,65x65-75x75 cm,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
7079,Mohamed Chelbi,Composition 1,Huile sur toile marouflé sur C.plaqué,105x153,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9077,Ammar Ben Belgacem,Rire ,GOUACHE\PAPIER,57x77cm,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
6455,Habib Bida,Danse,Tech.mixte sur papier,73x93,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
9194,,Trans-figuration III,Acrylique /toile,81x100cm,,,,,,
9986,Mohamed Ayeb,Jeunesse,Photo,100x100,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9879,Meriem Bouderbala,The awakened,Technique mixte sur papier canson,99x66,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
8866\2,,L'africaine,Technique mixte sur toile,130x62 x 2  (130x124),,,,,,
9227,Mhamed M'timet,Méditerranéen,Tapisserie,140x247cm,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
6241,Samir Fenich,Goutte de marbre,Marbre et cerle en fer,75x35,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8932,Yosr Jamoussi,التــــركيــــــــب,Techn.mixte sur c.plaqué,116x130,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8927,Jelel Kasraoui,Tunisie en vie,Tech.mixte sur papier,108x73,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8871,Lotfi El Ghariani,Sans titre,Photo,165x62,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8819,Ridha Ben abdallah,Expression,Huile sur toile,100x150 ,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8817,Baker Ben Fraj,Culture,Technique mixte +collage sur toile,130x130,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8809,Ridha Ben Arab,Composition aux étoiles,Huile sur contre plaqué,155x160,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8839,Saber Bahri,Copie non conforme,Photo,150x150,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8803/2,Chiraze Chouchane,L.K n'est pas seule mais séparée,Technique mixte sur toile,120x175x2,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8991/2,Eman Masmoudi,Passe muraille 2007,Tech.mixte sur toile,182x82,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
5908,Asma M'naouar,Nature morte,Huile sur toile,60x150,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,4
5399,,Nature morte,,125x85,أيام قرطاج للفن المعاصر,,43357,19/09/2018,26/09/2018,
8990,,Maré Nostrum XII 2008,,160x130,تزويق الجناح الرئاسي,,43262,19/09/2018,,
6009,,Nature morte 12/99,,155x150,تزويق الجناح الرئاسي,,43262,21/03/2018,,
9910,Nouthayel Belkadhi,La bête,Composition,20x21x25,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8958,Hella Lamine,Sans titre,Gravure,55x41-69x55,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8874,Islam Belhaj Rhouma,L'exuvie d'une gravure,Gravure,76x46,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8977,Ameur Makni,Le chantier ,Photo,68x48 - 88x68,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
9050,Ridha M'hedhbi,Nostalgie,Tech.mixte sur toile,94x78,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
7827,Hamda Dniden,Banquet,Huile sur toie,97x72,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
8810,,Les fruits de l'illusion,Acrylique sur toile,118x82,,,,,,
8822,Hajer M'salmani,Cristalline,Acrylique sur toile,102x102,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
6269,Manoubi Boussandal,بيـــــــت المـــــــونـــــــى,Huile sur toile,100x76,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,3
6173,,الطّــــــــراح والكـــوشـــة,Acrylique sur toile,82x65,,,,,,
8907,,قــــــــــرّة  العنــــــــز,Acrylique sur toile,116x96,,,,,,
8912,Walid Zouari,Sans titre,Tech.mixte sur toile,120x120,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
7823,Meriem Bou Derbala,Hammam,Technique mixte,100x100,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,3
6130,,Petite rencontre à la plage,Techn. Mixte,100x100,,,,,,
6205/9,,Dourar,Huile sur toile,100x100 x 09 éléments,,,,,,
8614,Amor Kraïem,Sans titre,Huile sur toile,153x104,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,4
8194,,نشــــــــوة كتــــــابــــــة,Huile sur toile,110x130-119x100,أيام قرطاج للفن المعاصر,,43357,19/09/2018,26/09/2018,
7832,,من حكــــايــــــاتي,Acrylique sur toile,100x80,تزويق الجناح الرئاسي,,43262,21/03/2018,,
6260,,حــــدث أبـو هـريـــرة  قـــــــال,Huile sur toile,140x100,تزويق الجناح الرئاسي,,43262,21/03/2018,,
6177,Fatma Charfi,Aberic 1,Tech.mixte,75x107,تزويق الجناح الرئاسي,,43262,21/03/2018,,1
6135,Raouf Gara,Sans titre,Mosaïque,115x75,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
6296,Med Nooman Gmach,Superposition VIII,Huile sur c.plaqué,110x75,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
6187,Hatem El Mekki,Le poète égaré,Huile sur toile,117x90,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
6148/2,Jabeur El Mahjoub,Kairouan 1-2,Huile sur toile,1)96x67          2) 100x100,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,2
6286,,ألمــــــــانيــــــــــا,,70x67,,,,,,
6007,Halim Karabibène,Diptyque métaphysique,Acrylique sur papier,(65x50-79x65) x 2,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,3
6288,,رقصـــــــة ,Tech.mixte,76x106,,,,,,
6121,,Tandis que je méditais,Huile sur isorel,76x106,,,,,,
6277,Noureddine El Hani,بوستخــــــالات,Acrylique sur c.plaqué,120x76,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
6140/5,Ghazoua Zièdi Riahi,La Kharja-La lecon-L'scola-Café des nattes - La frippe,Aquarelle,30x25 x 5,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
6227,Ammar Farhat,Jeunes tunisiens à la plage,Huile sur toile,81x100,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
6399,Mohamed Zouari,Magon,Tech.mixte,97x62,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,3
5741,,حــــــلـــــــم,Huile sur c.plaqué,89x58,أيام قرطاج للفن المعاصر,,43357,19/09/2018,26/09/2018,
2258,,Sabra et Chatila,Hiule sur contreplaqué,120x40,أيام قرطاج للفن المعاصر,,43357,19/09/2018,26/09/2018,
6405/2,Brahim Dhahak,Hammem - Le pont de ma régina  marguerita,1) Tech.mixte sur c.plaqué              2) Acrylique sur isorel,1) 160x107     2) 49x60,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
6271,Mahmoud Tounsi,بحــــــر وقـــــوارب,Huile sur toile,154x122,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
6273,Nebil Souabi,الخطيــــــئة وبعـد الذكـــــــرى,Huile sur toile,162x121,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
8924,Feryel Lakhdhar,Kaâda,Sculpture en tissu,140x54,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,1
1812,Nejib Belkhodja,Composition sur verre n° 10,Peinture sur verre,70x47,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,1
1266,Hédi Turki,Paysage,Peinture,65x81,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,9
1344,,Matmata,Peinture,122x93,,,,,,
2613,,Espace moderne,Huile sur contre plaqué,99x100,,,,,,
3940,,Marabout,Huile sur toile,93x130,,,,,,
4141,,Rêve Antarctique,,89x116,,,,,,
5078,,Sieste,Gouache,51x67,,,,,,
1257,,Le parc,Peinture,75x102,,,,,,
6590,,الهــــــــــــر,Aquarelle et pastel,49x59,,,,,,
7157,,Lumière poétique-Dessin,Huile sur toile-Dessin,132x100-67x50,,,,,,
1003,Nja Mahdaoui,Le 05 Juin,Acrylique,52x67,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,10
1006,,Expansion I,Acrylique,80x80,,,,,,
1009,,Parchemin,Encre,51x67,,,,,,
1010,,Parchemin,Acrylique,51x67,,,,,,
1012,,Calligraphie sur métal,Acrylique et encre,91x92,,,,,,
1573,,Calligraphie sur matiére,Gouache,65x50,,,,,,
1759,,Peinture 17,Encre couleur,68x53,,,,,,
4094,,Calligramme Art concept II,Calligramme sur feuille mélamine résine,49x49,,,,,,
5887,,Parchemin bleu,Tech.mixte,49x65-73x88,,,,,,
1008,,La lumiére brisée,Acrylique,53x64,,,,,,
10621,Hamadi Ben Saâd,Sans titre,Fusain et encre / papier,62x87,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,,3
9364,,Voyage en Amerique,Tech.mixte/papier,101x71.5 cm,أيام قرطاج للفن المعاصر,,43357,19/09/2018,26/09/2018,
5218,,Contes,Peinture sur contre plaqué,75x105,أيام قرطاج للفن المعاصر,,43357,19/09/2018,26/09/2018,
8342,Lamine Sassi,Composition 1,Tech.mixte sur toile,130x97,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,2
10581,,Avotre santé,huile sur toile,80x100,,,,,,
2973,Ismaïl Ben Fredj,Tradition,Huile sur contreplaqué,163x130,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,2
3879,,Fête d'évenement,Crayon + Aquarelle,30x45,,,,,,
11242,Larnaout Lotfi,Polygone étoilé en bleu,Huile sur toile marouflé,102x102,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,1
12371,alair imen,variation,tech -mixte,"82,5x62,5",أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,1
