N° de la ligne;N° de station;Nom de station;Longitude;Latitude
25A (Retour);30;PROTECTION CIVILE;10.203722901642323;36.77192332988446
25A (Retour);31;DJEBEL JELLOUD;10.202564187347889;36.773178052948474
25A (Retour);32;EL AFRANE;10.196620915085077;36.77966739885177
25A (Retour);33;CENTRE DE COORDINATION OUARDIA;10.195623133331537;36.78060458853434
25A (Retour);34;DUBOSVILLE;10.191749520599842;36.78398844608775
25A (Retour);35;BAB ALIOUA L10-25(A-B-C-D);10.184492217376828;36.788884188333405
25A (Retour);36;MONCEF BEY RETOUR;10.186125800046284;36.792532185892085
25A (Retour);37;AVENUE CARTHAGE;10.182264223694801;36.79192420957057
25B;1;AVENUE CARTHAGE;10.182264223694801;36.79192420957057
25B;2;DUBOSVILLE;10.191749520599842;36.78398844608775
25B;3;CENTRE DE COORDINATION OUARDIA;10.195623133331537;36.78060458853434
25B;4;EL AFRANE;10.196620915085077;36.77966739885177
25B;5;DJEBEL JELLOUD;10.202564187347889;36.773178052948474
25B;6;PROTECTION CIVILE;10.203722901642323;36.77192332988446
25B;7;SIDI FATHALLAH1;10.207435078918934;36.76903567002998
25B;8;SIDI FATHALLAH2;10.209237523376942;36.76676671813417
25B;9;SONED;10.210255023557693;36.76529492194135
25B;10;KIOSQUE MOBIL BEN AROUS;10.21878669038415;36.75702957934746
25B;11;CENTRE BEN AROUS;10.22249836474657;36.75345998379853
25B;12;MUNICIPALITÉ BEN AROUS;10.225330777466297;36.748319323971195
25B;13;CENTRE DES HANDICAPÉS;10.225674100220203;36.74708138787588
25B;14;CELLULOSE (SILOS);10.225866213440895;36.7454090141073
25B;15;INSTITUT ENNOUR;10.220953412353992;36.73961896119324
25B;16;COLLÉGE MOUROUJ 3;10.216962285339832;36.73413344297663
25B;17;IMPRIMERIE BOUSLAMA;10.21874226629734;36.729967185796454
25B;18;DEPOT BIR EL KASSAA;10.221983380615711;36.72544974561761
25B;19;CROISEMENT MARCHÉ DE GROS;10.224063768982887;36.722780431896076
25B;20;MOUROUJ 3;10.223093312233686;36.72045515373588
