Code_BR,Categorie_Aderant,Code_Regime,Annees,Nombre
31,TS,157,2022,9
34,TS,157,2022,5
36,TS,157,2022,2
37,TS,157,2022,1
38,TS,157,2022,0
40,TS,157,2022,4
43,TS,157,2022,0
46,TS,157,2022,0
47,TS,157,2022,1
48,TS,157,2022,0
49,TS,157,2022,19
50,TS,157,2022,3
51,TS,157,2022,0
52,TS,157,2022,23
53,TS,157,2022,0
54,TS,157,2022,0
55,TS,157,2022,0
56,TS,157,2022,1
58,TS,157,2022,0
61,TS,157,2022,0
62,TS,157,2022,0
64,TS,157,2022,0
67,TS,157,2022,0
69,TS,157,2022,0
70,TS,157,2022,0
71,TS,157,2022,0
72,TS,157,2022,0
73,TS,157,2022,0
74,TS,157,2022,0
80,TS,157,2022,24
81,TS,157,2022,9
82,TS,157,2022,3
83,TS,157,2022,4
84,TS,157,2022,15
85,TS,157,2022,19
86,TS,157,2022,12
10,TNS,380,2022,51
12,TNS,380,2022,215
13,TNS,380,2022,62
14,TNS,380,2022,126
16,TNS,380,2022,199
17,TNS,380,2022,10
18,TNS,380,2022,93
19,TNS,380,2022,58
20,TNS,380,2022,8
22,TNS,380,2022,64
23,TNS,380,2022,35
24,TNS,380,2022,30
25,TNS,380,2022,96
28,TNS,380,2022,38
29,TNS,380,2022,7
30,TNS,380,2022,7
31,TNS,380,2022,62
34,TNS,380,2022,15
36,TNS,380,2022,60
37,TNS,380,2022,301
38,TNS,380,2022,31
40,TNS,380,2022,91
43,TNS,380,2022,86
46,TNS,380,2022,194
47,TNS,380,2022,167
48,TNS,380,2022,56
49,TNS,380,2022,108
50,TNS,380,2022,181
51,TNS,380,2022,2
52,TNS,380,2022,199
53,TNS,380,2022,100
54,TNS,380,2022,0
55,TNS,380,2022,243
56,TNS,380,2022,252
58,TNS,380,2022,66
61,TNS,380,2022,70
62,TNS,380,2022,0
64,TNS,380,2022,78
67,TNS,380,2022,60
69,TNS,380,2022,17
70,TNS,380,2022,96
71,TNS,380,2022,141
72,TNS,380,2022,1
73,TNS,380,2022,114
74,TNS,380,2022,0
80,TNS,380,2022,10
81,TNS,380,2022,50
82,TNS,380,2022,34
83,TNS,380,2022,117
84,TNS,380,2022,146
85,TNS,380,2022,9
86,TNS,380,2022,18
10,TNS,381,2022,105
12,TNS,381,2022,7
