gov_name_f,gov_name_a,gov_id,Nom_du_site,Nom_monument,Dtae,Latitude,Longitude,,
Tunis,تونس,11,مدينة تونس,جامع محمد باي,13/03/1912,"36°48'3.32""N","10°10'7.27""E",,
Tunis,تونس,11,مدينة تونس,حمام صاحب الطابع,25/01/1922,"36°48'15.14""N","10°10'6.33""E",,
Tunis,تونس,11,مدينة تونس,خلوة سيدي محرز,16/11/1928,"36°48'16.88""N","10°10'7.94""E",,
Tunis,تونس,11,مدينة تونس,دار ابن خلدون نهج تربة الباي ,19/10/1992,"36°47'42.07""N","10°10'20.13""E",,
Tunis,تونس,11,مدينة تونس,دار الاصرم نهج التريبونال ,19/10/1992,"36°48'8.13""N","10°10'5.37""E",,
Tunis,تونس,11,مدينة تونس,دار الجزيري  نهج التريبونال ,19/10/1992,"36°48'6.00""N","10°10'5.89""E",,
Tunis,تونس,11,مدينة تونس,دار الحداد نهج سيدي بو خريصان  زنقة الطبجية ,31/08/1999,"36°47'45.09""N","10°10'10.37""E",,
Tunis,تونس,11,مدينة تونس,دار الرشيدية نهج دار الجلد ,19/10/1992,"36°47'54.33""N","10°10'9.75""E",,
Tunis,تونس,11,مدينة تونس,دار الشريف نهج سيدي معاوية ,31/08/1999,"36°48'9.97""N","10°10'8.06""E",,
Tunis,تونس,11,مدينة تونس,دار بن عبد الله,25/01/1922,"36°47'39.50""N","10°10'25.64""E",,
Tunis,تونس,11,مدينة تونس,دار بن عياد نهج الصباغين ,18/05/1999,"36°47'37.21""N","10°10'30.27""E",,
Tunis,تونس,11,مدينة تونس,دار حسين بطحاء الجنرال ,19/10/1992,"36°47'43.98""N","10°10'13.61""E",,
Tunis,تونس,11,مدينة تونس,دار رشيد 9 نهج المدرسة ,31/08/1999,"36°47'33.17""N","10°10'27.74""E",,
Tunis,تونس,11,مدينة تونس,دار عثمان,25/01/1922,"36°47'42.31""N","10°10'27.39""E",,
Tunis,تونس,11,مدينة تونس,دار قايد السبسي 11 مكرر نهج النفافتة باب سعدون ,31/08/1999,"36°48'30.56""N","10° 9'34.53""E",,
Tunis,تونس,11,مدينة تونس,دار المنستيري,25/01/1922,"36°48'14.04""N","10°10'8.32""E",,
