CRE;Ecole primaire;Nombre total des élèves;Nombre des élèves bénifiçiares de la cantine;Adresse de l'école;Distance entre le banque d'alimentation et l'école;Contient une salle à manger (oui/non);Long;Lat
المهدية;م.إ.  أولاد التومي;159;90;معتمدية شربان;18;لا توجد معطيات;10,465872;35,28498
المهدية;م.ا.الملاهمة;212;60;معتمدية بومرداس;12;لا توجد معطيات;10,616369;35,446287
المهدية;م.إ.  أولاد عبد الله;ر223;150;معتمدية السواسي;13;لا توجد معطيات;10,617881;35,40747
المهدية;م.ا.الزعيرات;177;70;معتمدية السواسي;13;لا توجد معطيات;10,427867;35,30020677
المهدية;م.إ.  القرادحة;175;109;معتمدية شربان;14;لا توجد معطيات;10,491287;35,218302
المهدية;م.إ.  أولاد احمد;378;246;معتمدية شربان;14;لا توجد معطيات;11,003257;35,160852
المهدية;م.إ.  العبابدة;95;73;معتمدية شربان;15;لا توجد معطيات;10,413538;35,269459
المهدية;م.إ. بوهلال علي 1;232;150;معتمدية بومرداس;16;لا توجد معطيات;10,6496;35,426757
المهدية;م.إ.  بوهلال علي 2;447;150;معتمدية بومرداس;16;لا توجد معطيات;10,67141;35,403956
المهدية;م.إ.  الرجيبات;459;300;معتمدية السواسي;16;لا توجد معطيات;10,409412;35,355017
المهدية;م.إ.  الشوايقية;125;125;معتمدية شربان;16;لا توجد معطيات;10,457623;35,219446
المهدية;م.إ. الستوت;162;100;معتمدية السواسي;17;لا توجد معطيات;10,433956;35,433214
المهدية;م.إ.  الشحيمات الشمالية;342;300;معتمدية اولاد الشامخ 5210;20;لا توجد معطيات;10,393652;35,43487
المهدية;م.إ.  فريق العمارات;281;190;معتمدية اولاد الشامخ 5210;20;لا توجد معطيات;10,397144;35,371921
المهدية;م.إ.  الرواضي;516;200;معتمدية بومرداس;20;لا توجد معطيات;10,69819;35,411567
المهدية;م.إ.  الزغابنة;215;100;معتمدية الجم;20;لا توجد معطيات;10,709004;35,23399733
المهدية;م.إ.  الزراطة;216;180;معتمدية بومرداس;21;لا توجد معطيات;10,6776578;35,43967325
المهدية;م.إ.  العواذبية;330;130;معتمدية بومرداس;21;لا توجد معطيات;10,680446;35,379819
المهدية;م.إ.  هنشير بوعزيز;74;64;معتمدية شربان;21;لا توجد معطيات;10,402457;35,236985
المهدية;م.إ.  أولاد بوزيد;438;250;معتمدية اولاد الشامخ 5210;22;لا توجد معطيات;10,357296;35,464555
المهدية;م.إ.  وادي حمودة;166;100;معتمدية الجم;22;لا توجد معطيات;10,756734;35,268931
المهدية;م.إ.  أولاد شريفة;136;130;معتمدية شربان;22;لا توجد معطيات;10,538391;35,186718
المهدية;م.إ.  المزاهدة;126;115;معتمدية شربان;22;لا توجد معطيات;10,353769;35,285635
المهدية;م.إ.  العيثة- الامتياز;298;150;معتمدية الجم;22;لا توجد معطيات;10,639625;35,275039
المهدية;م.إ.  العجيلات;206;200; معتمدية اولاد الشامخ 5120;23;لا توجد معطيات;10,354221;35,420115
المهدية;م.إ. الدراغثة;70;60;معتمدية اولاد الشامخ 5210;23;لا توجد معطيات;10,391679;35,468783
المهدية;م.إ. الحوس;207;150;معتمدية بومرداس;23;لا توجد معطيات;10,7258896;35,44408983
المهدية;م.إ.  البصرة شربان;178;130;معتمدية شربان;23;لا توجد معطيات;10,479015;35,172023
المهدية;حي الرياض القواسم;114;100;معتمدية شربان;24;لا توجد معطيات;10,446601;35,17911
المهدية;م.إ.  أولاد عمر;122;115;معتمدية اولاد الشامخ 5210;25;لا توجد معطيات;10,418558;35,46766
المهدية;م.إ.  غرة جوان55 الشحدة;152;130;معتمدية شربان;25;لا توجد معطيات;10,325601;35,256899
المهدية;م.إ.  خير الدين;127;116;معتمدية شربان;25;لا توجد معطيات;10,40043;35,186238
المهدية;م.إ.  الشرف شربان;104;104;معتمدية شربان;25;لا توجد معطيات;10,361315;35,198196
المهدية;م.إ.  سيدي بوهلال;174;150;معتمدية الجم;25;لا توجد معطيات;10,585837;35,280789
المهدية;م.إ.  العشابة;222;200;معتمدية الجم;26;لا توجد معطيات;10,79257434;35,30312101
المهدية;م.إ.  بني ثابت;86;56;معتمدية الجم;26;لا توجد معطيات;10,702276;35,378572
المهدية; الخيور;100;60;معتمدية شربان;26;لا توجد معطيات;0;0
المهدية;م.ا.الشياب;106;60;معتمدية الجم;27;لا توجد معطيات;10,838696;35,274549
المهدية;م.ا.النعايمة;128;60;معتمدية بومرداس;27;لا توجد معطيات;10,725621;35,409206
المهدية;م.إ.  السمرة;104;100;معتمدية اولاد الشامخ 5210;28;لا توجد معطيات;10,27610521;35,43358486
المهدية;م.إ.  2 مارس منزل حمزة;86;65;معتمدية بومرداس;28;لا توجد معطيات;10,79440242;35,40457606
المهدية;م.إ.  العبابسة;363;150;معتمدية الجم;28;لا توجد معطيات;10,770407;35,388896
المهدية;م.إ.  أولاد عرجون;173;130;معتمدية الجم;28;لا توجد معطيات;10,810676;35,269596
المهدية;م.إ.  الرزايقية;122;105;معتمدية اولاد الشامخ 5210;29;لا توجد معطيات;10,439363;35,464858
المهدية;م.إ. الشوارعية;395;180;معتمدية بومرداس;29;لا توجد معطيات;10,76611249;35,43499091
المهدية;م.إ.  القواسم;572;300;معتمدية شربان;29;لا توجد معطيات;10,427247;35,160909
المهدية;م.إ.  بئر بو سليم;115;95;معتمدية اولاد الشامخ 5210;30;لا توجد معطيات;10,23229497;35,42891902
المهدية;م.إ.  البراشنية;59;55;معتمدية اولاد الشامخ 5210;30;لا توجد معطيات;10,248068;35,453143
المهدية;م.إ.  أولاد الشامخ 7;219;160;معتمدية اولاد الشامخ 5210;32;لا توجد معطيات;10,274149;35,513313
المهدية;م.إ. المنيدرة;107;95;معتمدية اولاد الشامخ 5210;32;لا توجد معطيات;10,288449;35,40185
المهدية;م.إ.  الغرارقة;210;200;معتمدية اولاد الشامخ 5210;33;لا توجد معطيات;10,258488;35,396758
المهدية;م.إ.  الرقائقة;147;111;معتمدية هبيرة;33;لا توجد معطيات;10,30287347;35,21422403
المهدية; م.ا.الحرية;77;60;معتمدية اولاد الشامخ;33;لا توجد معطيات;10,268582;35,471239
المهدية;م.إ. الشواش;125;71;معتمدية سيدي علوان;35;لا توجد معطيات;10,854712;35,403236
المهدية;م.إ.  بني طورش;214;150;معتمدية ملولش;36;لا توجد معطيات;10,977858;35,229653
المهدية;م.إ.  منزل حشاد هبيرة;223;200;معتمدية هبيرة;36;لا توجد معطيات;10,281013;35,185023
المهدية;م.إ.  زالبة الغربية;294;250;معتمدية سيدي علوان;36;لا توجد معطيات;10,849728;35,202395
المهدية;م.إ.  السعادة;300;250;معتمدية سيدي علوان;36;لا توجد معطيات;10,825827;35,365194
المهدية;م.إ.  ساقية الخادم;491;250;معتمدية سيدي علوان;37;لا توجد معطيات;10,874331;35,38538
المهدية;م.إ.  وادي باجة;377;250;معتمدية سيدي علوان;37;لا توجد معطيات;10,878595;35,345298
المهدية;م.إ.  أولاد نصيب الشط;109;109;معتمدية هبيرة;38;لا توجد معطيات;10,239613;35,279851
المهدية;م.إ.  زالبة الشرقية;237;140;معتمدية سيدي علوان;38;لا توجد معطيات;10,905161;35,245027
المهدية;م.إ.  العيايطة;308;130;معتمدية سيدي علوان;38;لا توجد معطيات;10,885488;35,367144
المهدية;م.إ.  الزوازي;212;130;معتمديةسيدي علوان;38;لا توجد معطيات;10,818922;35,335763
المهدية;م.إ.  الماجرية;143;141;معتمدية سيدي علوان;38;لا توجد معطيات;10,890405;35,322309
المهدية;م.ا.اولاد احمد ;107;60;معتمدية سيدي علوان;38;لا توجد معطيات;11,003257;35,160852
المهدية;م.إ.  الجواودة المنصوريّة;234;200;معتمديةالمهدية 5100;39;لا توجد معطيات;10,890777;35,497044
المهدية;م.إ.  الشحدة;85;85;معتمدية هبيرة;39;لا توجد معطيات;10,213186;35,244774
المهدية;م.إ.  الحجارة;70;70;معتمدية هبيرة;39;لا توجد معطيات;10,236264;35,200755
المهدية;م.إ.  سعفات وادي باجة;233;110;معتمدية سيدي علوان;39;لا توجد معطيات;10,851352;35,310172
المهدية;م.إ.  المصيفة;150;105;معتمدية سيدي علوان;39;لا توجد معطيات;10,842528;35,171393
المهدية;م.إ.  قشانة;102;102;معتمدية سيدي علوان;39;لا توجد معطيات;10,842567;35,393485
المهدية;م.إ.  سيدي عساكر الغربية;294;200;معتمدية قصور الساف;40;لا توجد معطيات;10,87998359;35,41377947
المهدية;م.إ.  أولاد نصيب - عقبة ابن نافع;125;81;معتمدية هبيرة;40;لا توجد معطيات;10,180516;35,263722
المهدية;م.إ.  زردة;209;200;معتمدية سيدي علوان;40;لا توجد معطيات;10,92052716;35,29826165
المهدية;م.إ.  البعاجلة;226;110;معتمدية سيدي علوان;40;لا توجد معطيات;10,920474;35,388387
المهدية;م.إ.  الزواوين (الحكايمة);253;200;معتمدية المهدية 5100;41;لا توجد معطيات;10,8552434;35,451975
المهدية;م.إ.  2 مارس 34 هبيرة;366;250;معتمدية هبيرة;41;لا توجد معطيات;10,22916604;35,16885922
المهدية;م.إ. الكراعيد1 حوان;52;43;معتمدي هبيرة;41;لا توجد معطيات;10,313811;35,154681
المهدية;م.إ.  أولاد الذوادي (الحكايمة);197;150;معتمدية المهدية 5100;42;لا توجد معطيات;10,87226429;35,44739109
المهدية;م.إ.  أولاد مسلم;57;50;معتمدية قصور الساف;42;لا توجد معطيات;10,969908;35,3617
المهدية;م.إ. المحارزة;195;195;معتمدية هبيرة;42;لا توجد معطيات;10,205461;35,372163
المهدية;م.إ.  وادي قلات;55;51;معتمدية سيدي علوان;42;لا توجد معطيات;10,81677;35,394592
المهدية;م.إ.  أولاد بالليل;233;120;معتمدية سيدي علوان;42;لا توجد معطيات;10,899662;35,381686
المهدية;م.إ.  سيدي عساكر الشرقية;320;100;معتمدية قصور الساف;43;لا توجد معطيات;10,92263316;35,43600546
المهدية;م.إ.  الحناينة;142;100;معتمدية قصور الساف;43;لا توجد معطيات;10,995308;35,280259
المهدية;م.إ.  أولاد بلعيد;192;150;معتمدية المهدية 5100;44;لا توجد معطيات;10,9407284;35,483533
المهدية;م.إ.  المحارزة الجنوبية;112;80;معتمدية هبيرة;45;لا توجد معطيات;10,205461;35,372163
المهدية;م.إ.  أولاد عبد الله;307;150;معتمدية ملولش;46;لا توجد معطيات;10,617881;35,40747
المهدية;م.إ.  أولاد احمد;216;120;معتمدية ملولش;46;لا توجد معطيات;11,003257;35,160852
المهدية;م.إ.  أولاد جاء بالله;181;130;معتمدية ملولش;47;لا توجد معطيات;10,918901;35,204433
المهدية;م.إ.  2 مارس 34 المنصورة;147;90;معتمدية ملولش;47;لا توجد معطيات;10,93098896;35,17492506
المهدية;م.إ.  أولاد عائشة;138;110;معتمدية سيدي علوان;48;لا توجد معطيات;10,874805;35,183801
المهدية;م.ا.صلقطة;200;150;معتمدية قصور الساف;48;لا توجد معطيات;11,04134368;35,39724714
المهدية;م.إ.  الهود;228;120;معتمدية ملولش;53;لا توجد معطيات;10,959975;35,137928
المهدية;م.إ.  العرقوب;240;120;معتمدية ملولش;52;لا توجد معطيات;10,97596;35,164388
المهدية;م.إ.  أولاد المبروك;282;140;معتمدية ملولش;64;لا توجد معطيات;11,016439;35,133845
القصرين;م.إ. الزياتين;41;49;سبيطلة;14;نعم;8,898052;35,268523
القصرين;م.إ. قرعة العطش;19;15;سبيطلة;15;نعم;8,927558;35,276361
القصرين;م.إ. قلال سمامة;155;116;سبيطلة;18;نعم;8,934513;35,265639
القصرين;م.إ. الغرابلية;131;120;سبيطلة;24;نعم;13;34
القصرين;م.إ. الوساعية;85;102;سبيطلة;26;نعم;8,9513039;35,29858
القصرين;م.إ. الأثار;639;319;سبيطلة;27;نعم;9,065029;35,268494
القصرين;م.إ. الفج;128;109;سبيطلة;30;نعم;8,973274;35,212702
القصرين;م.إ. الساقية الحمراء;69;68;سبيطلة;34;نعم;9,136276;35,185299
القصرين;م.إ. بوكحيل;143;100;سبيطلة;36;نعم;9,172968;35,250243
