OBJECTID_1;OBJECTID;Code_Fiche;nb_annee;Code_Ligne;Pk;libelle;code_famil;code_sous_;Code_immob;Date_Aquis;Date_MS;Amrt_Cumul;Montant_br;Date_affec;Dt_Cession;emplacemen;nat_dos;dossier;Zone;direction;etat_resea;inventoria;PK_PN;Code_PN;Etat;X;Y;Code_Categ;Code_mere;Unite_d_af;Caracteris;Detail_emp
127;512;16820;1;6;28,126;PASSAGE A NIVEAU PK 28+126 SECTION  C043 LIGNE 6 Voie Unique;22251110;22251110;251020085;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;28.126;P 949;Nouveau;10.0884505735;36.5788215652; ; ;0; ;0
128;698;20107;20;6;35,15;PN AU PK35+150, L 6;22251110;22251110;251800428;2007-01-01T00:00:00.000;2007-01-01T00:00:00.000;2542.732;5650.482;;;C;11;527;2;0;E;1;35.15;P 984;Nouveau;10.0339441134;36.5369356747; ; ;0; ;0
129;204;16860;1;5;50,947;PASSAGE A NIVEAU PK 50+947 SECTION  C028 LIGNE 5 Double Voie;22251110;22251110;251020046;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;50.947;P 988;Nouveau;10.5698158014;36.5028083481; ; ;0; ;0
130;171;16469;1;5;12,3;PASSAGE A NIVEAU PK 12+300 SECTION  C024 LIGNE 5 triple Voie;22251110;22251110;251020012;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;12.3;P 1000;Nouveau;10.2966522807;36.7541971396; ; ;0; ;0
131;532;17083;1;6;70,01;PASSAGE A NIVEAU PK 70+010 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020388;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;70.01;P 1009;Nouveau;9.79537767933;36.3560695932; ; ;0; ;0
132;1178;16156;20;TA;3,97;PASSAGE A NIVEAU PK 3+970 SECTION  C023 LIGNE TA double voie;22251110;22251110;251020003;1978-01-01T00:00:00.000;1978-01-01T00:00:00.000;7913.812;7913.812;;;C;11;131;2;0;E;1;3.97;P 1011;Nouveau;10.1522491068;36.7984659328; ; ;0; ;0
133;1257;17945;20;TA;10,19;PASSAGE A NIVEAU PK 10+190 SECTION  C002 LIGNE TA Double Voie;22251110;22251110;251020795;1987-01-01T00:00:00.000;1987-01-01T00:00:00.000;7913.812;7913.812;;;C;11;131;1;0;E;1;10.19;P 1017;Nouveau;10.0881024967;36.8180241615; ; ;0; ;0
134;712;35396;20;6;104,45;PASSAGE A NIVEAU PK 104+450 SECTION  C052 LIGNE 6 Voie Unique;22251110;22251110;251020413;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;21396.63;21396.63;;;C;11;297;4;0;E;1;104.45;P 1018;Nouveau;9.4202687693;36.3752492129; ; ;0; ;0
135;548;17179;1;6;91,76;PASSAGE A NIVEAU PK 91+760 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020405;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;91.76;P 1019;Nouveau;9.55715947435;36.3715668897; ; ;0; ;0
136;207;16863;1;5;59,955;PASSAGE A NIVEAU PK 59+955 SECTION  C028 LIGNE 5 Double Voie;22251110;22251110;251020049;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;59.955;P 1025;Nouveau;10.5748650101;36.4230647174; ; ;0; ;0
137;555;17186;1;6;104,04;PASSAGE A NIVEAU PK 104+040 SECTION  C050 LIGNE 6 Voie Unique;22251110;22251110;251020412;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;104.04;P 1035;Nouveau;9.42408792533;36.3772793378; ; ;0; ;0
138;537;17088;1;6;79,83;PASSAGE A NIVEAU PK 79+830 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020394;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;79.83;P 1036;Nouveau;9.68598242072;36.3564939778; ; ;0; ;0
