FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,RTE_,RTE_ID,RTE_MAN_,RTE_MAN_ID,RTE_NOM,RTE_TYP,long_piste
"0","0","0","0",562.15611,"0","0","0","0",,P,"1"
"0","0","0","0",451.20216,"0","0","0","0",,P,"0"
"0","0","0","0",566.31383,"0","0","0","0",,P,"1"
"0","0","0","0",279.66551,"0","0","0","0",,P,"0"
"0","0","0","0",192.00515,"0","0","0","0",RR50,P,"0"
"0","0","0","0",1509.94825,"0","0","0","0",,P,"2"
"0","0","0","0",46.07145,"0","0","0","0",,P,"0"
"0","0","0","0",692.83180,"0","0","0","0",,P,"1"
"0","0","0","0",207.54257,"0","0","0","0",,P,"0"
"0","0","0","0",1423.44946,"0","0","0","0",,P,"1"
"0","0","0","0",19.89939,"0","0","0","0",,P,"0"
"0","0","0","0",109.36044,"0","0","0","0",,P,"0"
"0","0","0","0",514.55449,"0","0","0","0",,P,"1"
"0","0","0","0",190.83816,"0","0","0","0",,P,"0"
"0","0","0","0",361.69721,"0","0","0","0",,P,"0"
"0","0","0","0",592.33850,"0","0","0","0",,P,"1"
"0","0","0","0",522.95799,"0","0","0","0",RR50,P,"1"
"0","0","0","0",1620.08016,"0","0","0","0",,P,"2"
"0","0","0","0",1192.40199,"0","0","0","0",,P,"1"
"0","0","0","0",369.06555,"0","0","0","0",,P,"0"
"0","0","0","0",233.67861,"0","0","0","0",,P,"0"
"0","0","0","0",207.41031,"0","0","0","0",,P,"0"
"0","0","0","0",970.54707,"0","0","0","0",,P,"1"
"0","0","0","0",322.61146,"0","0","0","0",,P,"0"
"0","0","0","0",167.61053,"0","0","0","0",,P,"0"
"0","0","0","0",291.80184,"0","0","0","0",,P,"0"
"0","0","0","0",582.46986,"0","0","0","0",,P,"1"
"0","0","0","0",378.80780,"0","0","0","0",,P,"0"
"0","0","0","0",181.95853,"0","0","0","0",,P,"0"
"0","0","0","0",1393.22869,"0","0","0","0",,P,"1"
"0","0","0","0",57.15060,"0","0","0","0",,P,"0"
"0","0","0","0",250.94199,"0","0","0","0",,P,"0"
"0","0","0","0",446.42771,"0","0","0","0",,P,"0"
"0","0","0","0",22.93204,"0","0","0","0",,P,"0"
"0","0","0","0",38.85756,"0","0","0","0",,P,"0"
"0","0","0","0",82.45797,"0","0","0","0",,P,"0"
"0","0","0","0",318.06131,"0","0","0","0",,P,"0"
"0","0","0","0",1836.02131,"0","0","0","0",,P,"2"
