annee_scolaire;Ordre_CRE;Nom_CRE;Niveau_scolaire;Nb_classes_eleve
2021/2022;7;Bizerte;2ème année secondaire Sciences;68
2021/2022;7;Bizerte;2ème année secondaire Technologie informatique;32
2021/2022;7;Bizerte;2ème année secondaire Economie et services;68
2021/2022;7;Bizerte;2ème année secondaire Sport;1
2021/2022;7;Bizerte;3ème année secondaire Lettres;30
2021/2022;7;Bizerte;3ème année secondaire Mathématiques;17
2021/2022;7;Bizerte;3ème année secondaire Sc. Expérimentales;33
2021/2022;7;Bizerte;3ème année secondaire Sc.Techniques;20
2021/2022;7;Bizerte;3ème année secondaire Sc.Informatique;19
2021/2022;7;Bizerte;3ème année secondaire Economie et Gestion;74
2021/2022;7;Bizerte;3ème année secondaire Sport ;1
2021/2022;7;Bizerte;4ème année secondaire Lettres;40
2021/2022;7;Bizerte;4ème année secondaire Mathématiques;22
2021/2022;7;Bizerte;4ème année secondaire Sc. Expérimentales;48
2021/2022;7;Bizerte;4ème année secondaire Sc.Techniques;30
2021/2022;7;Bizerte;4ème année secondaire Sc.Informatique;16
2021/2022;7;Bizerte;4ème année secondaire Economie et Gestion;80
2021/2022;7;Bizerte;4ème année secondaire Sport ;2
2021/2022;8;Béja;7ème année de base;201
2021/2022;8;Béja;8ème année de base;161
2021/2022;8;Béja;9ème année de base;152
2021/2022;8;Béja;1ère année secondaire Tronc commun;147
2021/2022;8;Béja;1ère année secondaire Sport;3
2021/2022;8;Béja;2ème année secondaire Lettres;28
2021/2022;8;Béja;2ème année secondaire Sciences;41
2021/2022;8;Béja;2ème année secondaire Technologie informatique;11
2021/2022;8;Béja;2ème année secondaire Economie et services;37
2021/2022;8;Béja;2ème année secondaire Sport;3
2021/2022;8;Béja;3ème année secondaire Lettres;23
2021/2022;8;Béja;3ème année secondaire Mathématiques;10
2021/2022;8;Béja;3ème année secondaire Sc. Expérimentales;20
2021/2022;8;Béja;3ème année secondaire Sc.Techniques;14
2021/2022;8;Béja;3ème année secondaire Sc.Informatique;7
2021/2022;8;Béja;3ème année secondaire Economie et Gestion;36
2021/2022;8;Béja;3ème année secondaire Sport ;2
2021/2022;8;Béja;4ème année secondaire Lettres;33
2021/2022;8;Béja;4ème année secondaire Mathématiques;10
2021/2022;8;Béja;4ème année secondaire Sc. Expérimentales;29
2021/2022;8;Béja;4ème année secondaire Sc.Techniques;22
2021/2022;8;Béja;4ème année secondaire Sc.Informatique;8
2021/2022;8;Béja;4ème année secondaire Economie et Gestion;46
2021/2022;8;Béja;4ème année secondaire Sport ;3
2021/2022;9;Jendouba;7ème année de base;271
2021/2022;9;Jendouba;8ème année de base;212
2021/2022;9;Jendouba;9ème année de base;188
2021/2022;9;Jendouba;1ère année secondaire Tronc commun;185
2021/2022;9;Jendouba;1ère année secondaire Sport;2
2021/2022;9;Jendouba;2ème année secondaire Lettres;40
2021/2022;9;Jendouba;2ème année secondaire Sciences;47
2021/2022;9;Jendouba;2ème année secondaire Technologie informatique;24
2021/2022;9;Jendouba;2ème année secondaire Economie et services;42
2021/2022;9;Jendouba;2ème année secondaire Sport;1
2021/2022;9;Jendouba;3ème année secondaire Lettres;32
2021/2022;9;Jendouba;3ème année secondaire Mathématiques;10
2021/2022;9;Jendouba;3ème année secondaire Sc. Expérimentales;24
2021/2022;9;Jendouba;3ème année secondaire Sc.Techniques;18
2021/2022;9;Jendouba;3ème année secondaire Sc.Informatique;14
2021/2022;9;Jendouba;3ème année secondaire Economie et Gestion;44
2021/2022;9;Jendouba;3ème année secondaire Sport ;1
2021/2022;9;Jendouba;4ème année secondaire Lettres;47
2021/2022;9;Jendouba;4ème année secondaire Mathématiques;10
2021/2022;9;Jendouba;4ème année secondaire Sc. Expérimentales;36
2021/2022;9;Jendouba;4ème année secondaire Sc.Techniques;23
2021/2022;9;Jendouba;4ème année secondaire Sc.Informatique;14
2021/2022;9;Jendouba;4ème année secondaire Economie et Gestion;60
2021/2022;9;Jendouba;4ème année secondaire Sport ;3
2021/2022;10;Siliana;7ème année de base;166
2021/2022;10;Siliana;8ème année de base;127
2021/2022;10;Siliana;9ème année de base;113
2021/2022;10;Siliana;1ère année secondaire Tronc commun;112
2021/2022;10;Siliana;1ère année secondaire Sport;1
2021/2022;10;Siliana;2ème année secondaire Lettres;29
2021/2022;10;Siliana;2ème année secondaire Sciences;37
2021/2022;10;Siliana;2ème année secondaire Technologie informatique;11
2021/2022;10;Siliana;2ème année secondaire Economie et services;26
2021/2022;10;Siliana;2ème année secondaire Sport;1
2021/2022;10;Siliana;3ème année secondaire Lettres;29
2021/2022;10;Siliana;3ème année secondaire Mathématiques;9
2021/2022;10;Siliana;3ème année secondaire Sc. Expérimentales;20
2021/2022;10;Siliana;3ème année secondaire Sc.Techniques;15
2021/2022;10;Siliana;3ème année secondaire Sc.Informatique;7
2021/2022;10;Siliana;3ème année secondaire Economie et Gestion;27
2021/2022;10;Siliana;3ème année secondaire Sport ;1
2021/2022;10;Siliana;4ème année secondaire Lettres;34
2021/2022;10;Siliana;4ème année secondaire Mathématiques;6
2021/2022;10;Siliana;4ème année secondaire Sc. Expérimentales;24
2021/2022;10;Siliana;4ème année secondaire Sc.Techniques;18
2021/2022;10;Siliana;4ème année secondaire Sc.Informatique;6
