"Code","Nom","Adresse","Gouvernorat","Délégation"
"  99","XXX","91 AVNUE MUSTAPHA MOHSEN - BORJ LOUZIR - LA SOUKRE","ARIANA","SOUKRA"
"1529","XXX","144 AVENUE DE L'UNION DU MAGHREB ARABE","ARIANA","SOUKRA"
"1625","XXX","CITE HEDI NOUIRA - IMMEUBLE INES C - LA SOUKRA - ARIANA","ARIANA","SOUKRA"
"1685","XXX","31 AVENUE CHOTRANA","ARIANA","SOUKRA"
"1716","XXX","MAGASIN N° 8 BLOC C IMM IMEN","ARIANA","SOUKRA"
"1759","XXX","RESIDENCE ELYES-  N°1 RDC DU BLOC 61 AV MONGI SLIM - DAR FADHAL","ARIANA","SOUKRA"
"1849","XXX"," RUE ABDERRAHMAN MAMI N°11 BIS - BORJ LOUZIR","ARIANA","SOUKRA"
"2024","XXX","AVENUE JAOUDAT EL HAYET N°111 - CHOTRANA","ARIANA","SOUKRA"
"2092","XXX","AVENUE FATTOUMA BOURGUIBA N_53 - SIDI FRAJ","ARIANA","SOUKRA"
"2161","XXX","80 RUE FATTOUMA BOURGUIBA","ARIANA","SOUKRA"
"2187","XXX","N°J3 - COMPLEXE IMMOBILIER ""ASWER SOUKRA "" - AVENUE CHEIKH ENNEIFER","ARIANA","SOUKRA"
"2326","XXX","RESIDENCE EZZAYATIN E1-2 RUE CHEIKH ENNEIFER - SIDI FRAJ - LA SOUKRA","ARIANA","SOUKRA"
"2399","XXX","41 AVENUE JAWDAT EL HAYET - CHOTRANA 1- SOUKRA - ARIANA","ARIANA","SOUKRA"
"2410","XXX","AVENUE DE LA CITE DU SPORT - BORJ LOUZIR - ROUTE DE CHOUTRANA - FACE RESIDENCE SEMIRAMIS LA SOUKRA A","ARIANA","SOUKRA"
"2450","XXX","67 AVENUE DE L'ENVIRONNEMENT SOUKRA ARIANA","ARIANA","SOUKRA"
"2457","XXX","34 BIS RUE MUSTAPHA MOHSEN - BORJ LOUZIR - LA SOUKRA","ARIANA","SOUKRA"
"2523","XXX","74 RUE DU PARC - RESIDENCE VENEZIA - SOUKRA - ARIANA","ARIANA","SOUKRA"
