ligne ;horaires (du Lundi à samedi);Sens ;horaires (Dimanche);sens ;saison;;;;;;;;
19D;17:50;retour;17:00;retour;hiver;;;;;;;;
19D;19:00;retour;18:00;retour;hiver;;;;;;;;
19D;;;19:00;retour;hiver;;;;;;;;
19D;;;20:00;retour;hiver;;;;;;;;
19E( Barcelone vers Megrine Chaker par Z4);06:05;aller;;;hiver;;;;;;;;
19E;06:35;aller;;;hiver;;;;;;;;
19E;07:05;aller;;;hiver;;;;;;;;
19E;07:35;aller;;;hiver;;;;;;;;
19E;08:05;aller;;;hiver;;;;;;;;
19E;08:35;aller;;;hiver;;;;;;;;
19E;09:05;aller;;;hiver;;;;;;;;
19E;09:35;aller;;;hiver;;;;;;;;
19E;10:05;aller;;;hiver;;;;;;;;
19E;10:35;aller;;;hiver;;;;;;;;
19E;11:05;aller;;;hiver;;;;;;;;
19E;11:35;aller;;;hiver;;;;;;;;
19E;12:05;aller;;;hiver;;;;;;;;
19E;12:35;aller;;;hiver;;;;;;;;
19E;13:05;aller;;;hiver;;;;;;;;
19E;13:35;aller;;;hiver;;;;;;;;
19E;14:05;aller;;;hiver;;;;;;;;
19E;14:35;aller;;;hiver;;;;;;;;
19E;15:05;aller;;;hiver;;;;;;;;
19E;15:35;aller;;;hiver;;;;;;;;
19E;16:05;aller;;;hiver;;;;;;;;
19E;16:35;aller;;;hiver;;;;;;;;
19E;17:05;aller;;;hiver;;;;;;;;
19E;17:35;aller;;;hiver;;;;;;;;
19E;18:05;aller;;;hiver;;;;;;;;
19E;18:35;aller;;;hiver;;;;;;;;
19E;05:35;retour;;;hiver;;;;;;;;
19E;06:05;retour;;;hiver;;;;;;;;
19E;06:35;retour;;;hiver;;;;;;;;
19E;07:05;retour;;;hiver;;;;;;;;
19E;07:35;retour;;;hiver;;;;;;;;
19E;08:05;retour;;;hiver;;;;;;;;
19E;08:35;retour;;;hiver;;;;;;;;
19E;09:05;retour;;;hiver;;;;;;;;
19E;09:35;retour;;;hiver;;;;;;;;
19E;10:05;retour;;;hiver;;;;;;;;
19E;10:35;retour;;;hiver;;;;;;;;
19E;11:05;retour;;;hiver;;;;;;;;
19E;11:35;retour;;;hiver;;;;;;;;
19E;12:05;retour;;;hiver;;;;;;;;
19E;12:35;retour;;;hiver;;;;;;;;
19E;13:05;retour;;;hiver;;;;;;;;
19E;13:35;retour;;;hiver;;;;;;;;
19E;14:05;retour;;;hiver;;;;;;;;
19E;14:35;retour;;;hiver;;;;;;;;
19E;15:05;retour;;;hiver;;;;;;;;
19E;15:35;retour;;;hiver;;;;;;;;
19E;16:05;retour;;;hiver;;;;;;;;
19E;16:35;retour;;;hiver;;;;;;;;
19E;17:05;retour;;;hiver;;;;;;;;
19E;17:35;retour;;;hiver;;;;;;;;
19E;18:05;retour;;;hiver;;;;;;;;
19G(Bab Saadoun vers Nouvelle médina2);17:40;aller;;;hiver;;;;;;;;
19G;07:20;retour;;;hiver;;;;;;;;
21(Mornag vers Ferch Annabi);06:30;aller;06:30;aller;hiver;;;;;;;;
21;07:20;aller;07:30;aller;hiver;;;;;;;;
21;08:00;aller;08:30;aller;hiver;;;;;;;;
21;08:40;aller;09:30;aller;hiver;;;;;;;;
21;09:20;aller;10:35;aller;hiver;;;;;;;;
21;10:10;aller;11:30;aller;hiver;;;;;;;;
21;10:40;aller;12:10;aller;hiver;;;;;;;;
21;12:15;aller;12:30;aller;hiver;;;;;;;;
21;12:40;aller;13:00;aller;hiver;;;;;;;;
21;13:10;aller;14:00;aller;hiver;;;;;;;;
21;13:50;aller;15:00;aller;hiver;;;;;;;;
21;14:30;aller;16:00;aller;hiver;;;;;;;;
21;15:10;aller;17:00;aller;hiver;;;;;;;;
21;15:50;aller;18:00;aller;hiver;;;;;;;;
21;16:30;aller;19:00;aller;hiver;;;;;;;;
21;17:10;aller;06:00;retour;hiver;;;;;;;;
21;18:15;aller;07:00;retour;hiver;;;;;;;;
21;17:15;aller;08:00;retour;hiver;;;;;;;;
21;06:40;retour;09:00;retour;hiver;;;;;;;;
21;07:10;retour;10:00;retour;hiver;;;;;;;;
21;08:00;retour;11:00;retour;hiver;;;;;;;;
21;08:40;retour;12:00;retour;hiver;;;;;;;;
21;09:20;retour;13:30;retour;hiver;;;;;;;;
21;10:00;retour;14:30;retour;hiver;;;;;;;;
21;10:45;retour;15:35;retour;hiver;;;;;;;;
21;11:15;retour;16:35;retour;hiver;;;;;;;;
21;12:00;retour;17:30;retour;hiver;;;;;;;;
21;13:15;retour;18:30;retour;hiver;;;;;;;;
21;13:50;retour;;;hiver;;;;;;;;
21;14:30;retour;;;hiver;;;;;;;;
21;15:10;retour;;;hiver;;;;;;;;
21;15:50;retour;;;hiver;;;;;;;;
21;16:30;retour;;;hiver;;;;;;;;
21;17:10;retour;;;hiver;;;;;;;;
21;17:50;retour;;;hiver;;;;;;;;
21;18:15;retour;;;hiver;;;;;;;;
21A(Morneg vers jbel Rssas);06:30;aller;06:00;aller;hiver;;;;;;;;
21A;07:30;aller;07:00;aller;hiver;;;;;;;;
21A;08:30;aller;08:00;aller;hiver;;;;;;;;
21A;09:30;aller;09:00;aller;hiver;;;;;;;;
21A;10:40;aller;10:00;aller;hiver;;;;;;;;
21A;11:40;aller;11:00;aller;hiver;;;;;;;;
21A;12:35;aller;12:00;aller;hiver;;;;;;;;
21A;13:30;aller;12:40;aller;hiver;;;;;;;;
21A;14:30;aller;13:40;aller;hiver;;;;;;;;
21A;15:35;aller;14:40;aller;hiver;;;;;;;;
21A;16:40;aller;15:40;aller;hiver;;;;;;;;
21A;17:40;aller;16:40;aller;hiver;;;;;;;;
21A;19:10;aller;17:40;aller;hiver;;;;;;;;
21A;07:00;retour;06:30;retour;hiver;;;;;;;;
21A;08:00;retour;07:30;retour;hiver;;;;;;;;
21A;09:00;retour;08:30;retour;hiver;;;;;;;;
21A;10:10;retour;09:30;retour;hiver;;;;;;;;
21A;11:10;retour;10:30;retour;hiver;;;;;;;;
21A;12:10;retour;11:30;retour;hiver;;;;;;;;
21A;13:00;retour;12:10;retour;hiver;;;;;;;;
21A;14:00;retour;13:10;retour;hiver;;;;;;;;
21A;15:05;retour;14:10;retour;hiver;;;;;;;;
21A;16:10;retour;15:10;retour;hiver;;;;;;;;
21A;17:15;retour;16:10;retour;hiver;;;;;;;;
21A;18:25;retour;17:10;retour;hiver;;;;;;;;
21A;;;18:10;retour;hiver;;;;;;;;
21B(Mornag vers Tarhouna);06:00;aller;06:00;aller;hiver;;;;;;;;
21B;06:30;aller;07:00;aller;hiver;;;;;;;;
21B;07:45;aller;08:00;aller;hiver;;;;;;;;
21B;08:45;aller;09:00;aller;hiver;;;;;;;;
21B;09:50;aller;10:00;aller;hiver;;;;;;;;
21B;10:45;aller;11:00;aller;hiver;;;;;;;;
21B;12:10;aller;12:00;aller;hiver;;;;;;;;
21B;12:50;aller;13:00;aller;hiver;;;;;;;;
21B;13:45;aller;14:00;aller;hiver;;;;;;;;
21B;14:50;aller;15:00;aller;hiver;;;;;;;;
21B;15:50;aller;16:00;aller;hiver;;;;;;;;
21B;16:50;aller;17:00;aller;hiver;;;;;;;;
21B;18:15;aller;18:00;aller;hiver;;;;;;;;
21B;04:50;retour;19:00;aller;hiver;;;;;;;;
21B;05:45;retour;05:30;retour;hiver;;;;;;;;
21B;06:05;retour;06:30;retour;hiver;;;;;;;;
21B;06:50;retour;07:30;retour;hiver;;;;;;;;
21B;07:20;retour;08:30;retour;hiver;;;;;;;;
21B;08:15;retour;09:30;retour;hiver;;;;;;;;
21B;09:15;retour;10:30;retour;hiver;;;;;;;;
21B;10:15;retour;11:30;retour;hiver;;;;;;;;
21B;11:15;retour;13:30;retour;hiver;;;;;;;;
21B;12:30;retour;14:30;retour;hiver;;;;;;;;
21B;13:20;retour;15:30;retour;hiver;;;;;;;;
21B;14:20;retour;16:30;retour;hiver;;;;;;;;
21B;15:20;retour;17:30;retour;hiver;;;;;;;;
21B;16:20;retour;18:30;retour;hiver;;;;;;;;
21B;17:40;retour;19:30;retour;hiver;;;;;;;;
21B;18:45;retour;;;hiver;;;;;;;;
22(Barcelone vers Centre de Traumatologie et des Grands brulés);03:40;aller;03:45;aller;hiver;;;;;;;;
22;04:40;aller;04:40;aller;hiver;;;;;;;;
22;06:35;aller;05:40;aller;hiver;;;;;;;;
22;07:20;aller;06:40;aller;hiver;;;;;;;;
22;07:50;aller;07:40;aller;hiver;;;;;;;;
22;08:30;aller;08:40;aller;hiver;;;;;;;;
22;09:10;aller;09:40;aller;hiver;;;;;;;;
22;09:50;aller;10:40;aller;hiver;;;;;;;;
22;10:30;aller;11:40;aller;hiver;;;;;;;;
22;11:10;aller;12:40;aller;hiver;;;;;;;;
22;11:50;aller;13:40;aller;hiver;;;;;;;;
22;12:30;aller;14:40;aller;hiver;;;;;;;;
22;13:20;aller;15:40;aller;hiver;;;;;;;;
22;13:50;aller;16:40;aller;hiver;;;;;;;;
22;14:50;aller;17:40;aller;hiver;;;;;;;;
22;15:30;aller;18:40;aller;hiver;;;;;;;;
22;16:10;aller;19:40;aller;hiver;;;;;;;;
22;16:50;aller;21:00;aller;hiver;;;;;;;;
22;17:30;aller;22:15;aller;hiver;;;;;;;;
22;18:10;aller;23:45;aller;hiver;;;;;;;;
22;18:50;aller;01:00;aller;hiver;;;;;;;;
22;19:30;aller;03:20;retour;hiver;;;;;;;;
22;20:10;aller;04:10;retour;hiver;;;;;;;;
22;21:00;aller;05:10;retour;hiver;;;;;;;;
22;22:00;aller;06:10;retour;hiver;;;;;;;;
22;23:45;aller;07:10;retour;hiver;;;;;;;;
22;01:00;aller;08:10;retour;hiver;;;;;;;;
22;03:10;retour;09:10;retour;hiver;;;;;;;;
22;04:10;retour;10:10;retour;hiver;;;;;;;;
22;06:40;retour;11:10;retour;hiver;;;;;;;;
22;07:10;retour;12:10;retour;hiver;;;;;;;;
22;07:50;retour;13:10;retour;hiver;;;;;;;;
22;08:30;retour;14:10;retour;hiver;;;;;;;;
22;09:10;retour;15:10;retour;hiver;;;;;;;;
22;09:50;retour;16:10;retour;hiver;;;;;;;;
22;10:30;retour;17:10;retour;hiver;;;;;;;;
22;11:10;retour;18:10;retour;hiver;;;;;;;;
22;11:50;retour;19:10;retour;hiver;;;;;;;;
22;12:30;retour;21:40;retour;hiver;;;;;;;;
22;13:10;retour;23:00;retour;hiver;;;;;;;;
22;14:10;retour;00:25;retour;hiver;;;;;;;;
22;14:40;retour;;;hiver;;;;;;;;
22;15:30;retour;;;hiver;;;;;;;;
22;16:10;retour;;;hiver;;;;;;;;
22;16:50;retour;;;hiver;;;;;;;;
22;17:30;retour;;;hiver;;;;;;;;
22;18:10;retour;;;hiver;;;;;;;;
22;18:50;retour;;;hiver;;;;;;;;
22;19:30;retour;;;hiver;;;;;;;;
22;21:30;retour;;;hiver;;;;;;;;
22;23:00;retour;;;hiver;;;;;;;;
22;00:25;retour;;;hiver;;;;;;;;
22A(Barcelone vers El Yasminet);06:10;aller;08:50;aller;hiver;;;;;;;;
22A;06:40;aller;09:50;aller;hiver;;;;;;;;
22A;08:00;aller;10:50;aller;hiver;;;;;;;;
22A;09:20;aller;11:50;aller;hiver;;;;;;;;
22A;10:50;aller;12:50;aller;hiver;;;;;;;;
22A;12:15;aller;13:50;aller;hiver;;;;;;;;
22A;13:40;aller;07:55;retour;hiver;;;;;;;;
22A;15:00;aller;09:20;retour;hiver;;;;;;;;
22A;16:25;aller;10:20;retour;hiver;;;;;;;;
22A;18:10;aller;11:20;retour;hiver;;;;;;;;
22A;05:30;retour;12:20;retour;hiver;;;;;;;;
22A;06:10;retour;13:20;retour;hiver;;;;;;;;
22A;06:40;retour;14:20;retour;hiver;;;;;;;;
22A;07:10;retour;;;hiver;;;;;;;;
22A;07:30;retour;;;hiver;;;;;;;;
22A;08:40;retour;;;hiver;;;;;;;;
22A;10:05;retour;;;hiver;;;;;;;;
22A;11:30;retour;;;hiver;;;;;;;;
22A;12:55;retour;;;hiver;;;;;;;;
22A;14:20;retour;;;hiver;;;;;;;;
22A;15:45;retour;;;hiver;;;;;;;;
22A;17:10;retour;;;hiver;;;;;;;;
22G(Kasbah vers Ben Arous);06:10;aller;;;hiver;;;;;;;;
22G;06:40;aller;;;hiver;;;;;;;;
22G;08:00;aller;;;hiver;;;;;;;;
22G;09:20;aller;;;hiver;;;;;;;;
22G;10:50;aller;;;hiver;;;;;;;;
22G;12:15;aller;;;hiver;;;;;;;;
22G;13:40;aller;;;hiver;;;;;;;;
22G;15:00;aller;;;hiver;;;;;;;;
22G;16:25;aller;;;hiver;;;;;;;;
22G;18:10;aller;;;hiver;;;;;;;;
22G;05:30;retour;;;hiver;;;;;;;;
22G;06:10;retour;;;hiver;;;;;;;;
22G;06:40;retour;;;hiver;;;;;;;;
22G;07:10;retour;;;hiver;;;;;;;;
22G;07:30;retour;;;hiver;;;;;;;;
22G;08:40;retour;;;hiver;;;;;;;;
22G;10:05;retour;;;hiver;;;;;;;;
22G;11:30;retour;;;hiver;;;;;;;;
22G;12:55;retour;;;hiver;;;;;;;;
22G;14:20;retour;;;hiver;;;;;;;;
22G;15:45;retour;;;hiver;;;;;;;;
22G;17:10;retour;;;hiver;;;;;;;;
24(Rabatement Mourouj 2 vers Cebalet Cheikh);05:00;aller;05:00;aller;hiver;;;;;;;;
24;05:20;aller;05:30;aller;hiver;;;;;;;;
24;05:35;aller;06:00;aller;hiver;;;;;;;;
24;05:50;aller;06:30;aller;hiver;;;;;;;;
24;06:00;aller;06:45;aller;hiver;;;;;;;;
24;06:20;aller;07:00;aller;hiver;;;;;;;;
24;06:40;aller;07:30;aller;hiver;;;;;;;;
24;06:55;aller;07:45;aller;hiver;;;;;;;;
24;07:10;aller;08:00;aller;hiver;;;;;;;;
24;07:35;aller;08:30;aller;hiver;;;;;;;;
24;08:00;aller;08:45;aller;hiver;;;;;;;;
24;08:15;aller;09:00;aller;hiver;;;;;;;;
24;08:30;aller;09:15;aller;hiver;;;;;;;;
24;08:45;aller;09:30;aller;hiver;;;;;;;;
24;09:00;aller;09:45;aller;hiver;;;;;;;;
24;09:20;aller;10:00;aller;hiver;;;;;;;;
24;09:35;aller;10:15;aller;hiver;;;;;;;;
24;09:50;aller;10:30;aller;hiver;;;;;;;;
24;10:05;aller;10:45;aller;hiver;;;;;;;;
24;10:20;aller;11:00;aller;hiver;;;;;;;;
24;10:40;aller;11:15;aller;hiver;;;;;;;;
24;10:55;aller;11:30;aller;hiver;;;;;;;;
24;11:10;aller;11:45;aller;hiver;;;;;;;;
24;11:25;aller;12:15;aller;hiver;;;;;;;;
24;11:40;aller;12:00;aller;hiver;;;;;;;;
24;12:00;aller;12:15;aller;hiver;;;;;;;;
24;12:15;aller;12:30;aller;hiver;;;;;;;;
24;12:30;aller;12:45;aller;hiver;;;;;;;;
24;12:45;aller;13:00;aller;hiver;;;;;;;;
24;13:00;aller;13:15;aller;hiver;;;;;;;;
24;13:20;aller;13:30;aller;hiver;;;;;;;;
24;13:35;aller;13:45;aller;hiver;;;;;;;;
24;13:50;aller;14:00;aller;hiver;;;;;;;;
24;14:05;aller;14:15;aller;hiver;;;;;;;;
24;14:20;aller;14:30;aller;hiver;;;;;;;;
24;14:40;aller;14:45;aller;hiver;;;;;;;;
24;14:55;aller;15:00;aller;hiver;;;;;;;;
24;15:10;aller;15:15;aller;hiver;;;;;;;;
24;15:25;aller;15:30;aller;hiver;;;;;;;;
24;15:40;aller;15:45;aller;hiver;;;;;;;;
24;16:00;aller;16:00;aller;hiver;;;;;;;;
24;16:15;aller;16:15;aller;hiver;;;;;;;;
24;16:30;aller;16:30;aller;hiver;;;;;;;;
24;16:45;aller;16:45;aller;hiver;;;;;;;;
24;17:00;aller;17:00;aller;hiver;;;;;;;;
24;17:20;aller;17:15;aller;hiver;;;;;;;;
24;17:50;aller;17:30;aller;hiver;;;;;;;;
24;18:05;aller;18:00;aller;hiver;;;;;;;;
24;18:20;aller;18:15;aller;hiver;;;;;;;;
24;18:40;aller;18:30;aller;hiver;;;;;;;;
24;18:55;aller;19:00;aller;hiver;;;;;;;;
24;19:10;aller;19:15;aller;hiver;;;;;;;;
24;19:40;aller;19:30;aller;hiver;;;;;;;;
24;20:00;aller;20:00;aller;hiver;;;;;;;;
24;20:20;aller;20:15;aller;hiver;;;;;;;;
24;20:40;aller;21:00;aller;hiver;;;;;;;;
24;21:00;aller;21:15;aller;hiver;;;;;;;;
24;21:20;aller;22:05;aller;hiver;;;;;;;;
24;21:10;aller;22:30;aller;hiver;;;;;;;;
24;22:00;aller;23:10;aller;hiver;;;;;;;;
24;22:10;aller;23:40;aller;hiver;;;;;;;;
24;22:40;aller;04:20;retour;hiver;;;;;;;;
24;23:10;aller;05:00;retour;hiver;;;;;;;;
24;23:30;aller;05:30;retour;hiver;;;;;;;;
24;04:20;retour;06:00;retour;hiver;;;;;;;;
24;04:40;retour;06:15;retour;hiver;;;;;;;;
24;05:00;retour;06:30;retour;hiver;;;;;;;;
24;05:40;retour;07:00;retour;hiver;;;;;;;;
24;06:00;retour;07:15;retour;hiver;;;;;;;;
24;06:15;retour;07:30;retour;hiver;;;;;;;;
24;06:30;retour;08:00;retour;hiver;;;;;;;;
24;06:45;retour;08:15;retour;hiver;;;;;;;;
24;07:00;retour;08:30;retour;hiver;;;;;;;;
24;07:20;retour;09:00;retour;hiver;;;;;;;;
24;07:35;retour;09:15;retour;hiver;;;;;;;;
24;07:50;retour;09:30;retour;hiver;;;;;;;;
24;08:05;retour;09:45;retour;hiver;;;;;;;;
24;08:20;retour;10:00;retour;hiver;;;;;;;;
24;08:40;retour;10:15;retour;hiver;;;;;;;;
24;08:55;retour;10:30;retour;hiver;;;;;;;;
24;09:10;retour;10:45;retour;hiver;;;;;;;;
24;09:25;retour;11:00;retour;hiver;;;;;;;;
24;09:40;retour;11:15;retour;hiver;;;;;;;;
24;10:00;retour;11:30;retour;hiver;;;;;;;;
24;10:15;retour;11:45;retour;hiver;;;;;;;;
24;10:30;retour;12:00;retour;hiver;;;;;;;;
24;10:45;retour;12:15;retour;hiver;;;;;;;;
24;11:00;retour;12:30;retour;hiver;;;;;;;;
24;11:20;retour;12:45;retour;hiver;;;;;;;;
24;11:35;retour;13:00;retour;hiver;;;;;;;;
24;11:50;retour;13:15;retour;hiver;;;;;;;;
24;12:05;retour;13:30;retour;hiver;;;;;;;;
24;12:20;retour;13:45;retour;hiver;;;;;;;;
24;12:40;retour;14:00;retour;hiver;;;;;;;;
24;12:55;retour;14:15;retour;hiver;;;;;;;;
24;13:10;retour;14:30;retour;hiver;;;;;;;;
24;13:25;retour;14:45;retour;hiver;;;;;;;;
24;13:40;retour;15:00;retour;hiver;;;;;;;;
24;14:00;retour;15:15;retour;hiver;;;;;;;;
24;14:15;retour;15:30;retour;hiver;;;;;;;;
24;14:30;retour;15:45;retour;hiver;;;;;;;;
24;14:45;retour;16:00;retour;hiver;;;;;;;;
24;15:00;retour;16:15;retour;hiver;;;;;;;;
24;15:20;retour;16:30;retour;hiver;;;;;;;;
24;15:35;retour;17:00;retour;hiver;;;;;;;;
24;15:50;retour;17:15;retour;hiver;;;;;;;;
24;16:05;retour;17:30;retour;hiver;;;;;;;;
24;16:20;retour;17:45;retour;hiver;;;;;;;;
24;16:40;retour;18:00;retour;hiver;;;;;;;;
24;16:55;retour;18:30;retour;hiver;;;;;;;;
24;17:10;retour;18:45;retour;hiver;;;;;;;;
24;17:15;retour;19:00;retour;hiver;;;;;;;;
24;17:25;retour;19:30;retour;hiver;;;;;;;;
24;17:40;retour;19:45;retour;hiver;;;;;;;;
24;18:00;retour;20:00;retour;hiver;;;;;;;;
24;18:30;retour;20:30;retour;hiver;;;;;;;;
24;18:45;retour;20:45;retour;hiver;;;;;;;;
24;19:00;retour;21:35;retour;hiver;;;;;;;;
24;19:20;retour;21:55;retour;hiver;;;;;;;;
24;19:40;retour;22:35;retour;hiver;;;;;;;;
24;20:00;retour;23:00;retour;hiver;;;;;;;;
24;20:20;retour;;;hiver;;;;;;;;
24;20:40;retour;;;hiver;;;;;;;;
24;21:00;retour;;;hiver;;;;;;;;
24;21:40;retour;;;hiver;;;;;;;;
24;21:20;retour;;;hiver;;;;;;;;
24;22:00;retour;;;hiver;;;;;;;;
24;22:40;retour;;;hiver;;;;;;;;
24;23:20;retour;;;hiver;;;;;;;;
24/(Rabatement Mourouj 2 vers Cité El Almi );06:40;aller;07:10;aller;hiver;;;;;;;;
24/;07:40;aller;08:10;aller;hiver;;;;;;;;
24/;08:40;aller;09:10;aller;hiver;;;;;;;;
24/;09:40;aller;10:10;aller;hiver;;;;;;;;
24/;10:40;aller;11:10;aller;hiver;;;;;;;;
24/;11:40;aller;12:10;aller;hiver;;;;;;;;
24/;12:40;aller;13:10;aller;hiver;;;;;;;;
24/;13:40;aller;14:10;aller;hiver;;;;;;;;
24/;14:40;aller;15:10;aller;hiver;;;;;;;;
24/;15:40;aller;16:10;aller;hiver;;;;;;;;
24/;16:40;aller;17:10;aller;hiver;;;;;;;;
24/;17:40;aller;18:10;aller;hiver;;;;;;;;
24/;18:40;aller;19:10;aller;hiver;;;;;;;;
24/;06:10;retour;06:40;retour;hiver;;;;;;;;
24/;07:10;retour;07:40;retour;hiver;;;;;;;;
24/;08:10;retour;08:40;retour;hiver;;;;;;;;
24/;09:10;retour;09:40;retour;hiver;;;;;;;;
24/;10:10;retour;10:40;retour;hiver;;;;;;;;
24/;11:10;retour;11:40;retour;hiver;;;;;;;;
24/;12:10;retour;12:40;retour;hiver;;;;;;;;
24/;13:10;retour;13:40;retour;hiver;;;;;;;;
24/;14:10;retour;14:40;retour;hiver;;;;;;;;
24/;15:10;retour;15:40;retour;hiver;;;;;;;;
24/;16:10;retour;16:40;retour;hiver;;;;;;;;
24/;17:10;retour;17:40;retour;hiver;;;;;;;;
24/;18:10;retour;18:40;retour;hiver;;;;;;;;
24A(Rabatement Mourouj2 vers Oudhna);06:40;aller;;;hiver;;;;;;;;
24A;08:30;aller;;;hiver;;;;;;;;
24A;10:20;aller;;;hiver;;;;;;;;
24A;12:10;aller;;;hiver;;;;;;;;
24A;14:00;aller;;;hiver;;;;;;;;
24A;15:30;aller;;;hiver;;;;;;;;
24A;17:00;aller;;;hiver;;;;;;;;
24A;18:40;aller;;;hiver;;;;;;;;
24A;06:00;retour;;;hiver;;;;;;;;
24A;07:30;retour;;;hiver;;;;;;;;
24A;09:30;retour;;;hiver;;;;;;;;
24A;11:10;retour;;;hiver;;;;;;;;
24A;13:20;retour;;;hiver;;;;;;;;
24A;14:40;retour;;;hiver;;;;;;;;
24A;16:20;retour;;;hiver;;;;;;;;
24A;17:40;retour;;;hiver;;;;;;;;
24E(Rabatement Mourouj2 vers Sidi Fradj);06:35;aller;;;hiver;;;;;;;;
24E;07:55;aller;;;hiver;;;;;;;;
24E;09:15;aller;;;hiver;;;;;;;;
24E;10:35;aller;;;hiver;;;;;;;;
24E;12:05;aller;;;hiver;;;;;;;;
24E;13:55;aller;;;hiver;;;;;;;;
24E;15:10;aller;;;hiver;;;;;;;;
24E;16:30;aller;;;hiver;;;;;;;;
24E;17:10;aller;;;hiver;;;;;;;;
24E;17:50;aller;;;hiver;;;;;;;;
24E;18:00;aller;;;hiver;;;;;;;;
24E;05:55;retour;;;hiver;;;;;;;;
24E;07:15;retour;;;hiver;;;;;;;;
24E;08:35;retour;;;hiver;;;;;;;;
24E;09:55;retour;;;hiver;;;;;;;;
24E;11:15;retour;;;hiver;;;;;;;;
24E;13:20;retour;;;hiver;;;;;;;;
24E;14:30;retour;;;hiver;;;;;;;;
24E;15:50;retour;;;hiver;;;;;;;;
24E;17:10;retour;;;hiver;;;;;;;;
24E;18:30;retour;;;hiver;;;;;;;;
24H(Rabatement Mourouj2 vers Terminus Taieb Mhiri );06:10;aller;;;hiver;;;;;;;;
24H;06:40;aller;;;hiver;;;;;;;;
24H;07:50;aller;;;hiver;;;;;;;;
24H;08:20;aller;;;hiver;;;;;;;;
24H;09:30;aller;;;hiver;;;;;;;;
24H;09:40;aller;;;hiver;;;;;;;;
24H;11:10;aller;;;hiver;;;;;;;;
24H;14:00;aller;;;hiver;;;;;;;;
24H;14:30;aller;;;hiver;;;;;;;;
24H;15:20;aller;;;hiver;;;;;;;;
24H;15:50;aller;;;hiver;;;;;;;;
24H;16:40;aller;;;hiver;;;;;;;;
24H;18:30;aller;;;hiver;;;;;;;;
24H;05:30;retour;;;hiver;;;;;;;;
24H;05:50;retour;;;hiver;;;;;;;;
24H;07:00;retour;;;hiver;;;;;;;;
24H;07:30;retour;;;hiver;;;;;;;;
24H;08:40;retour;;;hiver;;;;;;;;
24H;09:00;retour;;;hiver;;;;;;;;
24H;10:20;retour;;;hiver;;;;;;;;
24H;10:30;retour;;;hiver;;;;;;;;
24H;11:50;retour;;;hiver;;;;;;;;
24H;14:40;retour;;;hiver;;;;;;;;
24H;15:10;retour;;;hiver;;;;;;;;
24H;16:00;retour;;;hiver;;;;;;;;
24H;16:30;retour;;;hiver;;;;;;;;
24H;17:10;retour;;;hiver;;;;;;;;
24H;17:50;retour;;;hiver;;;;;;;;
24H;19:10;retour;;;hiver;;;;;;;;
24D(Rabatement Mourouj2 vers Douar El Houch);05:30;aller;;;hiver;;;;;;;;
24D;06:10;aller;;;hiver;;;;;;;;
24D;06:40;aller;;;hiver;;;;;;;;
24D;07:10;aller;;;hiver;;;;;;;;
24D;07:45;aller;;;hiver;;;;;;;;
24D;08:15;aller;;;hiver;;;;;;;;
24D;09:00;aller;;;hiver;;;;;;;;
24D;09:40;aller;;;hiver;;;;;;;;
24D;10:30;aller;;;hiver;;;;;;;;
24D;11:10;aller;;;hiver;;;;;;;;
24D;11:50;aller;;;hiver;;;;;;;;
24D;12:25;aller;;;hiver;;;;;;;;
24D;13:00;aller;;;hiver;;;;;;;;
24D;13:35;aller;;;hiver;;;;;;;;
24D;14:10;aller;;;hiver;;;;;;;;
24D;14:50;aller;;;hiver;;;;;;;;
24D;15:30;aller;;;hiver;;;;;;;;
24D;16:10;aller;;;hiver;;;;;;;;
24D;16:50;aller;;;hiver;;;;;;;;
24D;17:30;aller;;;hiver;;;;;;;;
24D;18:10;aller;;;hiver;;;;;;;;
24D;18:40;aller;;;hiver;;;;;;;;
24D;05:00;retour;;;hiver;;;;;;;;
24D;05:40;retour;;;hiver;;;;;;;;
24D;06:05;retour;;;hiver;;;;;;;;
24D;06:40;retour;;;hiver;;;;;;;;
24D;07:10;retour;;;hiver;;;;;;;;
24D;07:40;retour;;;hiver;;;;;;;;
24D;08:20;retour;;;hiver;;;;;;;;
24D;09:00;retour;;;hiver;;;;;;;;
24D;09:40;retour;;;hiver;;;;;;;;
24D;10:30;retour;;;hiver;;;;;;;;
24D;11:10;retour;;;hiver;;;;;;;;
24D;11:50;retour;;;hiver;;;;;;;;
24D;12:25;retour;;;hiver;;;;;;;;
24D;13:00;retour;;;hiver;;;;;;;;
24D;13:35;retour;;;hiver;;;;;;;;
24D;14:10;retour;;;hiver;;;;;;;;
24D;14:50;retour;;;hiver;;;;;;;;
24D;15:30;retour;;;hiver;;;;;;;;
24D;16:10;retour;;;hiver;;;;;;;;
24D;16:50;retour;;;hiver;;;;;;;;
24D;17:30;retour;;;hiver;;;;;;;;
24D;18:10;retour;;;hiver;;;;;;;;
24D;18:40;retour;;;hiver;;;;;;;;
24F( Rabatement Mourouj2 vers Cité El Amel);06:00;aller;;;hiver;;;;;;;;
24F;06:20;aller;;;hiver;;;;;;;;
24F;06:40;aller;;;hiver;;;;;;;;
24F;07:00;aller;;;hiver;;;;;;;;
24F;07:20;aller;;;hiver;;;;;;;;
24F;07:40;aller;;;hiver;;;;;;;;
24F;08:00;aller;;;hiver;;;;;;;;
