Endroit,Nom_artiste,titre,Type_d_exposition,Type_de_galerie,Prix,Prix_Total
,مراد سلطان,Mars ,جماعي,عمومي,800,
,زياد سندي,La souffrance de la mer,جماعي,عمومي,4000,
,مالك سعد الله,dionusos,جماعي,عمومي,2500,
,سليمة انجلا,كيان,جماعي,عمومي,5000,
,أمال بن حسين,توهان,جماعي,عمومي,9000,
,أيمن الوسلاتي,The eagle ,جماعي,عمومي,2500,
,وليد زواري,1407,جماعي,عمومي,8000,
,يسرى المزوغي,Portrait de famille ,جماعي,عمومي,6000,
,فتحي سعيدان,المتشرد,جماعي,عمومي,12000,
,المنصف بن جامع,أنا و الأخر,جماعي,عمومي,3800,
,طارق السحباني,الأمل,جماعي,عمومي,1500,
,مهى المي,هوادس مرغوبلة,جماعي,عمومي,2000,
,محمد على خوجة,Penser a deux,جماعي,عمومي,2500,
,أحلام بوصندل,1,جماعي,عمومي,4000,
,أمال الهاني,المدينة المائية ,جماعي,عمومي,1000,
,رفاه غرسلاوي,الذئب و الوتر,جماعي,عمومي,1500,
,علياء كاتب,Sunset walk,جماعي,عمومي,2500,
,لمين ساسي,السماء بيضاء,جماعي,عمومي,12000,
,وسيم قيزة,Sous ,جماعي,عمومي,800,
,عمر بن مبروك,Gilet jaunes,جماعي,عمومي,1000,
,حافظ الجربي,Neo 2,جماعي,عمومي,3000,
,جيلاني بالشيخ,أمل,جماعي,عمومي,1900,
,دليلة اليعقوبي,حرايرنا,جماعي,عمومي,1400,
المدرسة السليمانية,محمد الرقيق ,تركبية 2,فردي,عمومي,5000,5000
دار الثقافة أكودة,عبد الكريم كريم,monsieur le président,فردي,عمومي,5000,5000
المركز الثقافي الدولي الحمامات,على البطروني,محرزية و البهيم,فردي,عمومي,5000,5000
