Endroit,Nom_artiste,Titre,Type_d_exposition,Type_de_galerie,Prix,Prix_Total
,عبد الرحمان مبروك ,la fin de la réve ,جماعي,عمومي,850,
,نزيهة مصلح ,amazing ,جماعي,عمومي,700,
,نادية إدريس ,e fait mer ,جماعي,عمومي,2500,
,الجيلاني بالشيخ ,pathmama,جماعي,عمومي,2800,
,حمودة عبد الرزاق ,أنا تونسي يا أخي ,جماعي,عمومي,6000,
,لطيفة الصمعي علجان ,voir le ciel d'en bas ,جماعي,عمومي,1700,
,سليم بن إبراهيم ,etouffemant ,جماعي,عمومي,4000,
,مكرم قراش ,confinement ,جماعي,عمومي,5500,
,مهى المى ,فاطمة ,جماعي,عمومي,2500,
,مريم الماجري ,شايب و عزوزتو,جماعي,عمومي,2500,
فضاء سانتا كروا,خالد عبيدة ,invocation 1,جماعي,عمومي,4250,119150
,شهلة سومر ,hommage aux artistes ,جماعي,عمومي,7000,
,مبروك الكامل ,balcon 2,جماعي,عمومي,5450,
,أحمد الزلفاني ,silence explosif ,جماعي,عمومي,12000,
,وفاء بالقاضي ,باب الاسد و الثور من الحكايات كليلة و دمنة ,جماعي,عمومي,7000,
,نعمان قمش ,texte humide ,جماعي,عمومي,10000,
,عبد المجيد البكري ,vague ,جماعي,عمومي,8000,
,رانية كمال ,nuance ,جماعي,عمومي,2800,
,فوزية ضيف الله ,لاجؤون ,جماعي,عمومي,800,
,اللافي الخضراوي ,نساء بلادي ,جماعي,عمومي,2000,
,محمد منصف مشيشة,rupestre ,جماعي,عمومي,1200,
,فايز صفر ,troika ,جماعي,عمومي,3200,
,شيماء سعيد ,EA3/EA4 Xylogravure ,جماعي,عمومي,500,
,ليلى الركباني ,"le sif,fleur ",جماعي,عمومي,4800,
,إلهام السباعي ,pois-son d'amour ,جماعي,عمومي,3800,
,ميساء الطرابلسي ,l’ ennui ,جماعي,عمومي,2500,
,فادية لاحمر ,eclosion ,جماعي,عمومي,2500,
,ماهر العروسي ,la rue ,جماعي,عمومي,2800,
,كوثر كاسو الجلازي ,décoration troublée ,جماعي,عمومي,10000,
,إكرام  تيرا ,electromenagerie:envol promotionnnel ,جماعي,عمومي,6000,
,زهور الشعبوني ,عطر سيدي بو سعيد,جماعي,عمومي,4500,
,نور الدين العوني ,كلما إرتفع الإنسان ,جماعي,عمومي,3800,
,عماد السبتي ,متغدر في نهر ,جماعي,عمومي,1450,
,محمد سحنون ,دائرة ,جماعي,عمومي,4800,
,ناجي التابتي ,حروف متاقطعة ,جماعي,عمومي,7000,
,سهام الشابي ,evolution ,جماعي,عمومي,1000,
رواق يحي,ثريا الطرابلسي,onthe sofi,جماعي,عمومي,3800,35800
,عبد العزيز  الدريدي,عطر الأرض ,جماعي,عمومي,3800,
,فاتن مهذبي ,confusion ,جماعي,عمومي,800,
,حنان مقديش,sans titre,جماعي,عمومي,3600,
,محمد سامي بشير,délivrance ,جماعي,عمومي,5000,
,سرحان القصلي ,caryotype,جماعي,عمومي,2800,
,على رضا سعيد,من أجل االحرية ,جماعي,عمومي,8000,
,سهيلة عروس ,طيور الظلام ,جماعي,عمومي,3000,
