   ;ENTREPRISE;CODE_SEC;VILLE_SIEGE;ADRESSE;TEL;FAX
189;SOCIETE GAPRIM;IAA;GABES;Route El Hamma Km 20 Chenchou;75 279 199;75 279 199
190;SOCIETE HIBA DE PRODUITS AGRICOLES;IAA;GABES;Ayoun Zerkin, Mareth;98466630;
191;SOCIETE RIDAT;IAA;GABES;Imm. Cristal palace App 3A4 les Berges du Lac;71 965 225/71860854;71 965 735/71860853
192;SOCIETE SMVDA SAGE - NOURESSAHRA;IAA;GABES;Marjène El Bouhaira Rue du Lac Turkana 2ème étage B4 1053 TUNIS;71 960 799;71 960 828
193;SOCIETE SOMAFROM;IAA;GABES;Rue Tarek Ibn Zied 6041 Chenine Gabès;05227934;05227934
194;STE DE TRANSFORMATION PRODUITS DE MER-EL AMANI;IAA;GABES;38 Rue d'Espagne;71 601 721;71 601 326
195;STE POLE DE L'AGRICULTURE;IAA;GABES;Cité Azaiez M'Torrech 6014;75 280 200;75 280 200
196;DORRA DES INDUSTRIES MAGHREBINES ALIMENTAIRES-DIMA;IAA;GAFSA;Minoretie semoulerie DIMA Route de Lella;76 215 710;76 215 712
197;HUILERIE MOHAMED CHERIF;IAA;GAFSA;;;
198;SOCIETE CARTHAGE DES EAU MINERALES - SOCEM;IAA;GAFSA;Imm Haifa I jardins de soukra Sidi Daouad;70 724 518;70 724 517
199;SOCIETE ELKSAR FRIGO;IAA;GAFSA; BP 75 Rue mohamed Ali Elhammi;76 217 989;76 217 988
200;SOCIETE ULYSSE AGRO INDUSTRIES;IAA;GAFSA;1 Rue de papier Immeuble STEM Megrine Riadh;71 433 513;71 433 558
201;SOCIETE ZAIRI DATTES;IAA;GAFSA;Zone industrielle AGUILA;76 222 801;76 222 802
202;ABIDI SAMIR B AMOR B ABDALLAH;IAA;JENDOUBA;Al Aitha Souk Essebt;98489 115;
203;CENTRALE LAITERIE DU NORD OUEST - LAINO;IAA;JENDOUBA;6 Avenue Kheireddine Pacha;71 846 436;71 844 109
204;CENTRALE LAITIERE DU NORD;IAA;JENDOUBA;Route de Béja -Km 4 -8170 Bousalem -Jendouba;78 616091;78 644211
205;GENERAL INDUSTRIE DU NORD -GINOR;IAA;JENDOUBA;19 Rue d'Allemagne;71320627;71321064
206;LA COMPAGNIE FROMAGERE;IAA;JENDOUBA;Immeuble le Dôme Rue du Lac Léman, Les berges du Lac;71 964 969;71 964 117
207;SOCIETE BALTI LAIT;IAA;JENDOUBA;Abdejabbar BALTA;71 282 211;71 282 392
208;SOCIETE CHAMPI SYL;IAA;JENDOUBA;4 Rue Ibn Abi Dhiaf menzeh 5;71 234 477;71 237 216
209;SOCIETE EZZOUHOUR;IAA;JENDOUBA;Elmalgua;54 593 885;
210;SOCIETE RAYEN FOOD INDUSTRIES;IAA;JENDOUBA;19 Rue D'Allemagne;71381250/71381818;71381699/340
211;HUILERIE ABDELKEFI;IAA;KAIROUAN;Bir Ahmed Boussari Km 10;77 326 134;
212;HUILERIE AL BARAKA AOULED ACHOUR;IAA;KAIROUAN;Aouled Achour route Sfax Km 81;98 236 374;
213;HUILERIE BAAZAOUI;IAA;KAIROUAN;Rue 7 Novembre 1987 Cherarda;98 450 678;71 322 936
214;HUILERIE BARHOUMI - AL AKHOUEN;IAA;KAIROUAN;Route menzel mhiri boussari bouhajla;77 266 004;
215;HUILERIE CHRIGUI;IAA;KAIROUAN;Entré Bou Hajla Km 1;98 450 537;
216;HUILERIE EL BARAKA;IAA;KAIROUAN;Route de Kairouan Km 5 Bir Msikin;77 266 034;77 266 034
217;HUILERIE HABIB KNANI;IAA;KAIROUAN;Rue Amor Knani;77 266 038;
218;HUILERIE HADJ AHMED DHAHBI;IAA;KAIROUAN;EL ALA;77 256 011;
219;HUILERIE HADJ ALI AYDI;IAA;KAIROUAN;Alaouaied 74 Chrarda;76 634 550;
