Gouvernorats;NB;Localisation;Spécialité;"Date de Création"
Tunis;5;"La goulette";"Multi displine";1995
Tunis;9;"Sidi Bousaid";"Multi displine";1997
Tunis;10;"Cité la Jeunesse";"Sports individuels";1998
Tunis;14;"Cité la Jeunesse";Wrestling;
Tunis;18;"Cité la Jeunesse";Volley-ball;1998
Tunis;23;"Cité la Jeunesse";"Salle de tennis de table";2007
Tunis;27;"el wardia Salle bougatfa";"basket ball";1972
Tunis;32;"Complexe sportif Bardo";Boxe;2003
Tunis;36;"Ras el tabia";"Salle de Boxe";2013
Ariana;40;Ariana;"Sport Collectif";1995
Ariana;44;"Kalaat Andalous";"Sports individuels";2007
Ariana;48;"Sokra Cité el mansoura";Boxe;2012
Ariana;49;"el mnihla El Tadhamon";"Sports défensifs";2014
"Ben Arous";52;"El zahraa";"Multi displine";1988
"Ben Arous";56;"Ben Arous";"Multi displine";2004
"Ben Arous";61;"Cité Olympique à rades";"Multi displine";2005
"Ben Arous";65;"Boumhal el basatine";"Sports défensifs";2012
Mannouba;69;Mannouba;"jeux individuels au complexe Sportif";2005
Mannouba;73;"Douar hicher";"Sports individuels";2009
Mannouba;78;"Douar hicher";"Multi displine";2017
Nabeul;81;Klibia;"Multi displine";1994
Nabeul;85;"el hawaria";"Multi displine";1994
Nabeul;86;"el mida";"Multi displine";1995
Nabeul;90;"el nakba Hammemet";"Salle de tennis de table";2009
Nabeul;94;"Tennis de table à grombelia";"Tennis de table";
"Sous Total (Nabeul)";;17;;
Zaghouan;99;"Cité ennesma el fahes";"jeux individuels";
Bizerte;102;"Menzel bourguiba";"Multi displine";2000
Bizerte;107;"el cheleghmia Menzel bourguiba";"Gido et taekwondo";2009
Bizerte;111;"salle de sport individuelle à Sajnen";"jeux individuels";2015
Béja;115;"Mjez el beb";"Multi displine";2000
Béja;119;tborsok;"Jeux individuels";2017
Jandouba;123;"Ain Drahem";"Multi displine";2009
"Sous Total (Jandouba)";;6;;
"El Kéf";130;"Salle yougharta el kef";"Sports individuels";
"El Kéf";131;Tejerouine;"Multi displine";
"El Kéf";135;"Salle de sport individuelle à neber";"Jeux individuels";
Siliana;138;Makther;"Multi displine";1996
"Sous Total (Siliana)";;6;;
Sousse;146;"Hammem sousse";"Multi displine";1994
