annee_scolaire;ordre_CRE;Nom_CRE;Lib_matriere;effectif_enseignants
2021/2022;4; Mannouba ;Initiation technique;2
2021/2022;5; Ben Arous ;Initiation technique;5
2021/2022;6; Zaghouan ;Initiation technique;1
2021/2022;7; Bizerte ;Initiation technique;1
2021/2022;8; Béja ;Initiation technique;
2021/2022;9; Jendouba ;Initiation technique;
2021/2022;10; Siliana ;Initiation technique;2
2021/2022;11; Le Kef ;Initiation technique;1
2021/2022;12; Kasserine ;Initiation technique;4
2021/2022;13; Sidi Bouzid ;Initiation technique;2
2021/2022;14; Gafsa ;Initiation technique;3
2021/2022;15; Tozeur ;Initiation technique;
2021/2022;16; Kébili ;Initiation technique;3
2021/2022;17; Tataouine ;Initiation technique;1
2021/2022;18; Médenine ;Initiation technique;3
2021/2022;19; Gabès ;Initiation technique;4
2021/2022;20;Sfax 1;Initiation technique;2
2021/2022;21;Sfax 2;Initiation technique;1
2021/2022;22; Mahdia ;Initiation technique;5
2021/2022;23; Kairouan ;Initiation technique;3
2021/2022;24; Monastir ;Initiation technique;2
2021/2022;25; Sousse ;Initiation technique;4
2021/2022;26; Nabeul ;Initiation technique;4
2021/2022;1;Tunis 1;Mécanique;4
2021/2022;2;Tunis 2;Mécanique;
2021/2022;3; Ariana ;Mécanique;1
2021/2022;4; Mannouba ;Mécanique;3
2021/2022;5; Ben Arous ;Mécanique;1
2021/2022;6; Zaghouan ;Mécanique;1
2021/2022;7; Bizerte ;Mécanique;2
2021/2022;8; Béja ;Mécanique;
2021/2022;9; Jendouba ;Mécanique;
2021/2022;10; Siliana ;Mécanique;1
2021/2022;11; Le Kef ;Mécanique;2
2021/2022;12; Kasserine ;Mécanique;1
2021/2022;13; Sidi Bouzid ;Mécanique;5
2021/2022;14; Gafsa ;Mécanique;5
2021/2022;15; Tozeur ;Mécanique;1
2021/2022;16; Kébili ;Mécanique;2
2021/2022;17; Tataouine ;Mécanique;2
2021/2022;18; Médenine ;Mécanique;3
2021/2022;19; Gabès ;Mécanique;6
2021/2022;20;Sfax 1;Mécanique;1
2021/2022;21;Sfax 2;Mécanique;1
2021/2022;22; Mahdia ;Mécanique;3
2021/2022;23; Kairouan ;Mécanique;3
2021/2022;24; Monastir ;Mécanique;3
2021/2022;25; Sousse ;Mécanique;1
2021/2022;26; Nabeul ;Mécanique;3
2021/2022;1;Tunis 1;Electricité ;2
2021/2022;2;Tunis 2;Electricité ;1
2021/2022;3; Ariana ;Electricité ;3
2021/2022;4; Mannouba ;Electricité ;2
2021/2022;5; Ben Arous ;Electricité ;4
2021/2022;6; Zaghouan ;Electricité ;1
2021/2022;7; Bizerte ;Electricité ;1
2021/2022;8; Béja ;Electricité ;2
2021/2022;9; Jendouba ;Electricité ;
2021/2022;10; Siliana ;Electricité ;1
2021/2022;11; Le Kef ;Electricité ;2
2021/2022;12; Kasserine ;Electricité ;1
2021/2022;13; Sidi Bouzid ;Electricité ;2
2021/2022;14; Gafsa ;Electricité ;4
2021/2022;15; Tozeur ;Electricité ;
2021/2022;16; Kébili ;Electricité ;2
2021/2022;17; Tataouine ;Electricité ;3
2021/2022;18; Médenine ;Electricité ;5
2021/2022;19; Gabès ;Electricité ;6
2021/2022;20;Sfax 1;Electricité ;4
2021/2022;21;Sfax 2;Electricité ;1
2021/2022;22; Mahdia ;Electricité ;6
2021/2022;23; Kairouan ;Electricité ;1
2021/2022;24; Monastir ;Electricité ;3
2021/2022;25; Sousse ;Electricité ;2
2021/2022;26; Nabeul ;Electricité ;7
2021/2022;1;Tunis 1;Construction métallique;1
2021/2022;2;Tunis 2;Construction métallique;1
2021/2022;3; Ariana ;Construction métallique;
2021/2022;4; Mannouba ;Construction métallique;1
2021/2022;5; Ben Arous ;Construction métallique;
2021/2022;6; Zaghouan ;Construction métallique;
2021/2022;7; Bizerte ;Construction métallique;3
2021/2022;8; Béja ;Construction métallique;1
2021/2022;9; Jendouba ;Construction métallique;1
2021/2022;10; Siliana ;Construction métallique;
2021/2022;11; Le Kef ;Construction métallique;
2021/2022;12; Kasserine ;Construction métallique;2
2021/2022;13; Sidi Bouzid ;Construction métallique;3
2021/2022;14; Gafsa ;Construction métallique;3
2021/2022;15; Tozeur ;Construction métallique;1
2021/2022;16; Kébili ;Construction métallique;1
2021/2022;17; Tataouine ;Construction métallique;
2021/2022;18; Médenine ;Construction métallique;3
2021/2022;19; Gabès ;Construction métallique;6
2021/2022;20;Sfax 1;Construction métallique;3
2021/2022;21;Sfax 2;Construction métallique;2
2021/2022;22; Mahdia ;Construction métallique;3
2021/2022;23; Kairouan ;Construction métallique;4
2021/2022;24; Monastir ;Construction métallique;1
2021/2022;25; Sousse ;Construction métallique;
2021/2022;26; Nabeul ;Construction métallique;3
2021/2022;1;Tunis 1;Maintenance ap.Electro-ménagers;1
2021/2022;2;Tunis 2;Maintenance ap.Electro-ménagers;1
2021/2022;3; Ariana ;Maintenance ap.Electro-ménagers;
2021/2022;4; Mannouba ;Maintenance ap.Electro-ménagers;1
2021/2022;5; Ben Arous ;Maintenance ap.Electro-ménagers;
2021/2022;6; Zaghouan ;Maintenance ap.Electro-ménagers;
2021/2022;7; Bizerte ;Maintenance ap.Electro-ménagers;
2021/2022;8; Béja ;Maintenance ap.Electro-ménagers;
2021/2022;9; Jendouba ;Maintenance ap.Electro-ménagers;
2021/2022;10; Siliana ;Maintenance ap.Electro-ménagers;
2021/2022;11; Le Kef ;Maintenance ap.Electro-ménagers;
2021/2022;12; Kasserine ;Maintenance ap.Electro-ménagers;
2021/2022;13; Sidi Bouzid ;Maintenance ap.Electro-ménagers;
2021/2022;14; Gafsa ;Maintenance ap.Electro-ménagers;
2021/2022;15; Tozeur ;Maintenance ap.Electro-ménagers;
2021/2022;16; Kébili ;Maintenance ap.Electro-ménagers;
2021/2022;17; Tataouine ;Maintenance ap.Electro-ménagers;
2021/2022;18; Médenine ;Maintenance ap.Electro-ménagers;3
2021/2022;19; Gabès ;Maintenance ap.Electro-ménagers;
2021/2022;20;Sfax 1;Maintenance ap.Electro-ménagers;
2021/2022;21;Sfax 2;Maintenance ap.Electro-ménagers;
