gov_name_f,gov_id,Etablissement,Nature,Programme,Cadre_d_activite,Nbr_de_manifestations,Nbr_activite,Sub_ministere_Directe,Sub_ministere_indirecte,Sub_commissariat_Directe,Sub_commissariat_indirecte,Sub__structures_directe,Sub__structures_indirecte,sub_autres_parties_publiques,sub_autres_parties_prives,Nbr_d_abonnes,Capacite_operationnelle_directe,Capacite_operationnelle_indirecte
Tataouine,53,"       22,30: سهرة فنية لمجموعة ""خالد كعيب"" هرجان المدينة  المركب القافي تطاوين ",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,2000,0,0,0,0,0,0,0,0,0,0
Tataouine,53, الدورة 23 للأيام الثقافية الصيفية البئر الحمر  سهرة فنية للفنان مصطفى الدلاجي,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,10000,0,0,0,0,0,0,0,475,0,0
Tataouine,53," لدورة 23 للأيام الثقافية الصيفية البئر الحمر عرض مسرحي محترف موجه للعائلة والطفل : "" أريد أن ألعب"" دار الثقافة البئر الأحمر",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,3000,0,0,0,0,0,0,0,200,0,0
Tataouine,53, الدورة 23 للأيام الثقافية الصيفية البئر الحمر سهرة فنية شبابية Artmasta دار الثقافة البئر  الاحمر,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,8000,0,0,0,0,0,0,0,325,0,0
Tataouine,53, الدورة 17للأيام الثقافية الصيفية  برمادة سهرة موسيقية للفنانة منى نورالدين  دار الثقافة رمادة,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,7500,0,0,0,0,0,0,0,0,0,0
Tataouine,53, الدورة 17للأيام الثقافية الصيفية بغمراسن سهرة فنية من تقديم الفنان جلول الجلاصي,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,3500,0,0,0,0,0,0,0,270,0,0
Tataouine,53, الدورة 17للأيام الثقافية الصيفية بغمراسن سهرة فنية من تقيم الفنانة شهرزاد هلال,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,10000,0,0,0,0,0,0,0,310,0,0
Tataouine,53, الأيام الثقافية الصيفية بذهيبةسهرة فنية للقدود الحلبية بسوريا,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,28000,0,0,0,0,0,0,0,0,0,0
Tataouine,53, الأيام الثقافية الصيفية بذهيبةسهرة الفنانة علياء بالعيد,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,7500,0,0,0,0,0,0,0,0,0,0
Tataouine,53,سهرة فنية مع الفنان محمد النصري في اطار الايام الثقافية الصيفية,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,5000,0,0,0,0,0,0,0,580,0,0
