Nom_Agence,Gouvernorat,Adresse,Code_Postal,Fax,Tel,latitude,longitude
Agence Mahdia 2,Mahdia,Complexe imm diar elbahr zone touristique. 5111,5111,73 68 34 59,31 37 21 21 - 70 24 21 21,35.540430555556,11.02895
Agence Mahdia 1,Mahdia,Place Sidi Mtir . 5100,5100,73 69 51 91,31 37 20 21 - 70 24 20 21,35.503977777778,11.068294444444
Agence Les Jardins du Lac,Tunis,Imm Assurance BIAT les jardins du Lac (Lac II) - Les Berges du Lac Tunis 1053,1053,71 19 78 78,31 37 22 24 - 70 24 22 24,36.847858333333,10.26925
Agence Ariana Ennour,Ariana,2 rue Mustafa Hjaiej cite Ennour. 2080,2080,70 73 03 21,31 37 21 14 - 70 24 21 14,36.858216666667,10.185802777778
Agence Les Jardins de Carthage,Tunis,Rdc immeuble Ellissa Les Jardins de Carthage 2016,2016,71 26 63 00,31 37 23 06 - 70 24 23 06,36.851846944444,10.304576944444
Agence Les jardins d'el Menzah,Ariana,"Rue el fell galerie Kortoba Les Jardins Del Menzah 2, 2094",2094,70 73 53 23,31 37 22 51 - 70 24 22 51,36.857294444444,10.127408333333
Agence Les Jardins d'el Kantaoui,Sousse,Maisons des jardins port el Kantaoui. 4089,4089,73 34 62 06,31 37 21 07 - 70 24 21 07,35.893133333333,10.595186111111
Agence Les Berges du Lac,Tunis,Angle rue lac Bizerte et rue lac Leman. 1053,1053,71 96 53 16,31 37 20 15 - 70 24 20 15,36.836891666667,10.239119444444
Agence le Kram,Tunis,246 avenue Habib Bourguiba . 2015,2015,71 73 25 75,31 37 20 75 - 70 24 20 75,36.830869444444,10.314677777778
Agence le Bardo,Tunis,6 avenue Habib Bourguiba . 2000,2000,71 51 17 85,31 37 20 77 - 70 24 20 77,36.808097222222,10.137436111111
Agence Laouina,Tunis,RDC Imm Mazhoudi Avenue Mongi Slim Laouina 2045,2045,70 73 61 81,31 37 22 31 - 70 24 22 31,36.854866666667,10.257386111111
Agence Lafayette PP,Tunis,7 rue de Koweit Lafayette . 1002,1002,71 78 45 22,31 37 20 66 - 70 24 20 66,36.8137,10.182966666667
